Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
,FLOAT VALVE PLASTIC 3/4M WITH FLOAT,FLOAT VALVE PLASTIC 3/4M WITH FLOAT,Regular,,1019,FLOAT VALVE PLASTIC 3/4M WITH FLOAT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,15.11,Barrens,1019,,,,,,,,,,,,
,491056 BRIGGS ORIG. EQUIP. OIL FILTER,491056 BRIGGS ORIG. EQUIP. OIL FILTER,Regular,,1021,491056 BRIGGS ORIG. EQUIP. OIL FILTER,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,9.48,Barrens,1021,,,,,,,,,,,,
,"3000 PSI 1/2""x25' BLACK NEPTUNE HOSE","3000 PSI 1/2""x25' BLACK NEPTUNE HOSE",Regular,,1025,"3000 PSI 1/2""x25' BLACK NEPTUNE HOSE",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,86.93,Barrens,1025,,,,,,,,,,,,
,"3/4"" x 20' PVC CLEARBRAID HOSE (NOT FOR SALE)","3/4"" x 20' PVC CLEARBRAID HOSE (NOT FOR SALE)",Regular,,1028,"3/4"" x 20' PVC CLEARBRAID HOSE (NOT FOR SALE)",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,20.62,Barrens,1028,,,,,,,,,,,,
,REPAIR KIT FOR DK-3.5 DIRT KILLER,REPAIR KIT FOR DK-3.5 DIRT KILLER,Regular,,1029,REPAIR KIT FOR DK-3.5 DIRT KILLER,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,79.83,Barrens,1029,,,,,,,,,,,,
,DK-3.5 TAN DIRT KILLER NOZZLE 3200PSI,DK-3.5 TAN DIRT KILLER NOZZLE 3200PSI,Regular,,1030,DK-3.5 TAN DIRT KILLER NOZZLE 3200PSI,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,106.06,Barrens,1030,,,,,,,,,,,,
,REPAIR KIT FOR DK-5.5 DIRT KILLER,REPAIR KIT FOR DK-5.5 DIRT KILLER,Regular,,1031,REPAIR KIT FOR DK-5.5 DIRT KILLER,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,79.83,Barrens,1031,,,,,,,,,,,,
,DK-5.5 BLACK DIRT KILLER NOZZLE 3200PSI,DK-5.5 BLACK DIRT KILLER NOZZLE 3200PSI,Regular,,1032,DK-5.5 BLACK DIRT KILLER NOZZLE 3200PSI,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,106.06,Barrens,1032,,,,,,,,,,,,
,REPAIR KIT FOR DK-4.5 DIRT KILLER,REPAIR KIT FOR DK-4.5 DIRT KILLER,Regular,,1033,REPAIR KIT FOR DK-4.5 DIRT KILLER,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,79.83,Barrens,1033,,,,,,,,,,,,
,DK-4.5 YELLOW DIRT KILLER NOZZLE 3200PSI,DK-4.5 YELLOW DIRT KILLER NOZZLE 3200PSI,Regular,,1034,DK-4.5 YELLOW DIRT KILLER NOZZLE 3200PSI,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,106.06,Barrens,1034,,,,,,,,,,,,
,REPAIR KIT FOR IDK-8 DIRT KILLER,REPAIR KIT FOR IDK-8 DIRT KILLER,Regular,,1035,REPAIR KIT FOR IDK-8 DIRT KILLER,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,108.85,Barrens,1035,,,,,,,,,,,,
,IDK-8.0 RED DIRT KILLER NOZZLE 4700PSI,IDK-8.0 RED DIRT KILLER NOZZLE 4700PSI,Regular,,1036,IDK-8.0 RED DIRT KILLER NOZZLE 4700PSI,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,181.42,Barrens,1036,,,,,,,,,,,,
,GASKET KIT GX270,GASKET KIT GX270,Regular,,1037,GASKET KIT GX270,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,8.59,Barrens,1037,,,,,,,,,,,,
,REPAIR KIT FOR IDK-5.5 DIRT KILLER,REPAIR KIT FOR IDK-5.5 DIRT KILLER,Regular,,1038,REPAIR KIT FOR IDK-5.5 DIRT KILLER,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,108.85,Barrens,1038,,,,,,,,,,,,
,IDK-5.5 BLACK DIRT KILLER NOZZLE 4700PSI,IDK-5.5 BLACK DIRT KILLER NOZZLE 4700PSI,Regular,,1039,IDK-5.5 BLACK DIRT KILLER NOZZLE 4700PSI,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,181.42,Barrens,1039,,,,,,,,,,,,
,1/8 MEG 25035 WASHJET SPRAY NOZZLE,1/8 MEG 25035 WASHJET SPRAY NOZZLE,Regular,,1043,1/8 MEG 25035 WASHJET SPRAY NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,5.34,Barrens,1043,,,,,,,,,,,,
,1/8 MEG 1504 WASHJET SPRAY NOZZLE,1/8 MEG 1504 WASHJET SPRAY NOZZLE,Regular,,1044,1/8 MEG 1504 WASHJET SPRAY NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,5.34,Barrens,1044,,,,,,,,,,,,
