Row Number,SKU,Item Name,Image Filename,Local Image Absolute Path,Status
52,63016,1/2 Brass Nipple Close,63016.png,C:\Codex\AZCS Inventory\Images\Tucker images\63016.png,copied
53,63017,1/2 Brass Plug,63017.png,C:\Codex\AZCS Inventory\Images\Tucker images\63017.png,copied
54,63005,1/2 Brass Street Elbow,63005.png,C:\Codex\AZCS Inventory\Images\Tucker images\63005.png,copied
55,63020,1/2 Brass Tee,63020.png,C:\Codex\AZCS Inventory\Images\Tucker images\63020.png,copied
56,20007.5,1/2 cubic foot of Tucker DI resin in Bucket,20007.5.png,C:\Codex\AZCS Inventory\Images\Tucker images\20007.5.png,copied
57,62027,1/2 Elbow Threaded BRASS (FNPT),62027.png,C:\Codex\AZCS Inventory\Images\Tucker images\62027.png,copied
58,12032-ELBOW,1/2 femail ptf to 1/2 male ptf elbow,12032-ELBOW.png,C:\Codex\AZCS Inventory\Images\Tucker images\12032-ELBOW.png,copied
59,63009,1/2 female x 3/4 female GHT,63009.png,C:\Codex\AZCS Inventory\Images\Tucker images\63009.png,copied
60,63010,1/2 female x 3/4 male GHT,63010.png,C:\Codex\AZCS Inventory\Images\Tucker images\63010.png,copied
61,62039,1/2 FNPT Line Strainer 80mesh,62039.png,C:\Codex\AZCS Inventory\Images\Tucker images\62039.png,copied
62,12023,1/2 hp Motor Dual Phase,12023.png,C:\Codex\AZCS Inventory\Images\Tucker images\12023.png,copied
63,62002-M,1/2 male thread x 1/2 PTF Metal,62002-M.png,C:\Codex\AZCS Inventory\Images\Tucker images\62002-M.png,copied
64,62002-P,1/2 male thread x 1/2 PTF Plastic,62002-P.png,C:\Codex\AZCS Inventory\Images\Tucker images\62002-P.png,copied
65,63008,1/2 male thread x 3/4 male GHT Brass,63008.png,C:\Codex\AZCS Inventory\Images\Tucker images\63008.png,copied
66,62028,1/2 Male Thread x 3/8 PTF,62028.png,C:\Codex\AZCS Inventory\Images\Tucker images\62028.png,copied
67,62013,1/2 male x 3/8 ptf elbow reducer GAM,62013.png,C:\Codex\AZCS Inventory\Images\Tucker images\62013.png,copied
68,63032,1/2 MPT X FGH Swivel,63032.png,C:\Codex\AZCS Inventory\Images\Tucker images\63032.png,copied
69,62035,1/2 NPT x 1/2 Barb,62035.png,C:\Codex\AZCS Inventory\Images\Tucker images\62035.png,copied
70,62003,1/2 Plug for PTF,62003.png,C:\Codex\AZCS Inventory\Images\Tucker images\62003.png,copied
71,62038,1/2 PTF Bulkhead,62038.png,C:\Codex\AZCS Inventory\Images\Tucker images\62038.png,copied
72,62004,1/2' PTF Tee Fitting,62004.png,C:\Codex\AZCS Inventory\Images\Tucker images\62004.png,copied
73,62018,1/2 x 1/2 PTF 90deg Elbow,62018.png,C:\Codex\AZCS Inventory\Images\Tucker images\62018.png,copied
74,62005-TH,1/2 x 1/2 Tee w/ 1/4 female thread,62005-TH.png,C:\Codex\AZCS Inventory\Images\Tucker images\62005-TH.png,copied
