vendor,sku,vendor_code,item_name,image_relative_path,image_absolute_path,match_type,source_folder,details
MPWSR,S/VB1030HGE105/VHRM6,S/VB1030HGE105/VHRM6,"Skid, C/W, Gas, iGX800, Hon/Gen, TSF, 10gpm 3000psi, Honda Muffler, Green Spring, 1/2"" Hose, No Battery/Fuel Tank",Images\Manatee images\Pressure Pro 10gpm at 3000psi with General Pump SVB1030HGE105VHRM6.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Pressure Pro 10gpm at 3000psi with General Pump SVB1030HGE105VHRM6.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Pressure Pro 10gpm at 3000psi with General Pump S/VB1030HGE105/VHRM6.
MPWSR,S2878,S2878,CRX Oil filter V-TWIN STP,Images\Manatee images\CRX Engine Oil Filter CRX680 and CRX750 V-Twin Engines.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\CRX Engine Oil Filter CRX680 and CRX750 V-Twin Engines.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from CRX Engine Oil Filter CRX680 and CRX750 V-Twin Engines.
MPWSR,S6607,S6607,STP Oil Filter Fits GX690 Honda Motor,Images\Manatee images\Honda Engine Oil Filter STP S6607 for V-Twin Honda GX690.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Honda Engine Oil Filter STP S6607 for V-Twin Honda GX690.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Honda Engine Oil Filter STP S6607 for V-Twin Honda GX690.
MPWSR,SAA23H,SAA23H,Gunjet Spray Gun 250-1000 PSI,Images\Manatee images\Gunjet Spray Gun 250-1000 PSI.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Gunjet Spray Gun 250-1000 PSI.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Gunjet Spray Gun 250-1000 PSI.
MPWSR,SATG-125-RL,SATG-125-RL,"1-1/4"" Crush Proof Hose Saturn Green - 100ft Roll",Images\Manatee images\Crush-Proof Hose Saturn Green - 100ft Roll.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Crush-Proof Hose Saturn Green - 100ft Roll.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Crush-Proof Hose Saturn Green - 100ft Roll.
MPWSR,SATG-200-RL,SATG-200-RL,"2"" Crush Proof Hose Saturn Green - 100ft Roll",Images\Manatee images\Crush-Proof Hose Saturn Green - 100ft Roll.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Crush-Proof Hose Saturn Green - 100ft Roll.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Crush-Proof Hose Saturn Green - 100ft Roll.
MPWSR,SH-1,SH-1,"SH-1 Bushing 1""",Images\Manatee images\SH-1 Bushing 1.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\SH-1 Bushing 1.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from SH-1 Bushing 1""."
MPWSR,SL05090,SL05090,"1/2"" 90 Banjo poly street elbow",Images\Manatee images\12 90 Banjo Poly Street Elbow.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\12 90 Banjo Poly Street Elbow.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 1/2"" 90 Banjo poly street elbow."
MPWSR,SM2A007VT,SM2A007VT,"3/4"" Chemline Metering valve",Images\Manatee images\34 Chemline Metering valve.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\34 Chemline Metering valve.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 3/4"" Chemline Metering valve."
MPWSR,SOLUTION36,Solution 36,"36"" Surface cleaner by Sidewalk Solutions (Ships from Mfg)",Images\Manatee images\Solution #36 Surface Cleaner.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Solution #36 Surface Cleaner.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Solution #36 Surface Cleaner.
