Catalog SKU,Catalog Item Name,Export SKU,Export Item Name,Match Type,Source Location,Source Current Quantity Column,Seeded New Quantity Column,Seeded Quantity
6874,"4000 PSI 3/8""x25' BLACK NEPTUNE HOSE",6874,"Black Neptune 25' Pressure Hose 3/8""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
6538,"(200)HEAVY WT. CHEMICAL STRAINER, BRASS W/CHECK VL",6538,Chemical Strainer (Heavy) Brass,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
6431,(100)4' CLEAR VINYL HOSE W/DETERGENT FILTER,6431,Clear vinyl hose with detergent filter,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,10
20.0033,"DN-15 1/2 "" Heavy Duty Brass Ball Valve",20.0033,DN-15 Ball Valve,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
71100,"BackFlip, Brass, 10""",6248542,"Ettore Backflip Window Squeegee, 10 inch, Gold",gtin,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
71140,"BackFlip, Brass, 14""",71140,"Ettore Backflip Window Squeegee, 14 inch, Gold",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
71180,"BackFlip, Brass, 18""",P953436,"Ettore Backflip Window Squeegee, 18 inch, Gold",gtin,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
7011,"STACKRACK FOR 150', 300' & 450' A-FRAME HOSE REELS",7011,GP Hose Reel Stacking Kit,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
7008,"(24)A-FRAME HOSE REEL 3/8""x150' 5000PSI",7008,General Pump A Fram Reel 150',sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-3
7009,"(16)A-FRAME HOSE REEL 3/8""x300' DHRA50300 5000 PSI",7009,General Pump A Fram Reel 300',sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
GA-1G,Gold Assassin 1 Gal,837996B,Gold Assassin 1 gal.,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,43
GA-5G,Gold Assassin 5 Gal,146543X,Gold Assassin 5 gal.,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,26
