Catalog SKU,Catalog Item Name,Export SKU,Export Item Name,Match Type,Source Location,Source Current Quantity Column,Seeded New Quantity Column,Seeded Quantity
1102,1/4 MEG 4005 WASHJET SPRAY NOZZLE,1102,"1/4"" MEG 4005",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,10
1100,1/4 MEG 40055 WASHJET SPRAY NOZZLE,1100,"1/4"" MEG 40055",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,8
1099,1/4 MEG 4006 WASHJET SPRAY NOZZLE,1099,"1/4"" MEG 4006",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,9
3788,1/4 MEG 6504 WASHJET SPRAY NOZZLE,3788,"1/4"" MEG 6504",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
3790,1/4 MEG 6505 WASHJET SPRAY NOZZLE,3790,"1/4"" MEG 6505",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
3792,1/4 MEG 6506 WASHJET SPRAY NOZZLE,3792,"1/4"" MEG 6506",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
3795,1/4 MEG 6508 WASHJET SPRAY NOZZLE,3795,"1/4"" MEG 6508",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
2308,GP 1/4 MPT 1503 SPRAY NOZZLE,2308,"1/4"" MPT Nozzle 1503",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,18
1398,"(50)AL352 MOLDED GRIP 12"" LANCE",1398,"12"" Zinc Plated Lance",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
1299,"(20)PA PRESSURE SWITCH 1/4""MPT 15 AMP",1299,"1299- Pressure Switch 1/4"" MPT 250v 15amp, Activates at 580 PSI, 4050 PSI Max",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,5
1559,"INLINE GAS FILTER 5/16"" CLEAR PLASTIC",1559,1559- 5/16 Plastic Fuel Filter,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
6730,"16"" WATER BROOM W/O NOZZLES",6730,"16"" water broom w/o nozzles",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
1627,"QC PLUG 1/4"" MNPT STAINLESS STEEL",1627,1627- 304 Plug - 1/4MPT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,32
1699,SUTTNER ST-54 DUAL LANCE W/SIDE HANDLE 4500 PSI MA,1699,1699- ST-54 Suttner Steel Dual Lance,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,9
1888,GP QC 2508 GREEN NOZZLE,1888,1888- Quick Change Nozzle - 25 Degree - 8GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
2211,PA ADJ INJECTOR 2.3mm 5-8 GPM,2211,2.3mm 5-8 gpm downstream injector,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,5
2024,"QC SOCKET 1/4"" FNPT STAINLESS STEEL",2024,2024- 304 Socket - 1/4FPT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,14
2025,"QC SOCKET 3/8"" MNPT STAINLESS STEEL",2025,2025- 304 Socket - 3/8FPT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-18
5447,"AL323 MOLDED GRIP 24"" LANCE",5447,"24"" Zinc Plated Lance",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
2450,GP 1/8 MPT 2502 SPRAY NOZZLE,2450,2450- 1/8 MPT 25020,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,8
2510,"STEEL HEX NIPPLE 1/4 MPT, 5000 PSI",2510,"2510- Steel Hex Nipple Male Pipe Thread 1/4""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,16
2581,"STEEL HEX COUPLER 1/4 FPT, 5000 PSI",2581,"2583-1/4"" Steel Hex Coupler / Female Pipe Thread",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,9
3682,"WW3128-4 (26.75"") SPRAY BAR 4 TIP BIG GUY 28""",3682,"28"" Spray Bar 4 tip for big guy",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-3
2900,BRASS BUSHING 3/8MPT X 1/4FPT [SHORT HEX],2900,2900- 3/8mpt x 1/4,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,17
D10126,D10126 3/8 Plug x 1/2 MPT Stainless Steel Quick Connect Fitting,D10126,3/8 Plug x 1/2 MPT Stainless Steel Quick Connect Fitting,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,6
6754,"PA S.S. SWIVEL 3/8"" M/F 5650 PSI",6754,"3/8"" F x3/8"" M Stainless Steel Swivel",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-3
2582,"(300)STEEL HEX COUPLER 3/8 FPT, 4000 PSI",2582,"3/8"" Hex Coupler / Female Thread",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,19
2579,"STEEL ADAPTER 3/8 FPT X 1/4 MPT, 4000PSI",2579,"3/8"" x 1/4"" MPT Steel Adapter",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,8
3352,"STEEL ALLEN HEAD PLUG 1/4 MPT, 5000 PSI",3352,"3352- Steel Allen Head Plug 1/4"" MPT",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,16
3469,HANDLE ASSY FOR ST-54 DUAL LANCE,3469,3469- handle,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
3512,3/4 MALE GARDEN HOSE X 3/4 FPT,3512,3512- Garden Hose Couplings MGH x MPT 3/4 x 3/4,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
1401,"AL324 MOLDED GRIP 36"" LANCE",1401,"36"" Zinc Plated Lance",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
4157,GP QC 4008 WHITE NOZZLE,4157,4157- Quick Change Nozzle - 40 Degree - 8GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-4
4580,SUPER SWIVEL REPAIR KIT FOR 3/8 & 1/2 INLINE & 90,4580,4580- Super Swivel Repair Kit - 3/8 & 1/2,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,3
4602,"QC PLUG 1/4"" FNPT STAINLESS STEEL",4602,4602- 304 Plug - 1/4FPT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,21
4617,GP 1/4 MPT BRASS 6540 SOAPER NOZZLE,4617,4617- Brass Soap Nozzle 6540 1/4MPT GP,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,12
4629,"QC SOCKET 1/4"" MNPT STAINLESS STEEL",4629,4629- 304 Socket- 1/4MPT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,9
4630,"QC SOCKET 3/8"" FNPT STAINLESS STEEL",4630,4630- 304 Socket 3/8 FPT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-17
4792,WW200 SEAL KIT,4792,4792- WW312 Seal Kit,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
1402,"AL325 MOLDED GRIP 48"" LANCE",1402,"48"" Zinc Plated Lance",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
