Matched Master SKU,Matched Item Name,Default Vendor Name,Reporting Category,Catalog Price,Default Unit Cost,Sales Lines,Distinct Sales Items,Quantity Sold,Gross Sales,Discounts,Net Sales,Average Realized Unit Price,First Sale Date,Last Sale Date,Sales Categories Observed,Match Types
71140,Ettore BackFlip Combination Squeege and Washer Brass 14 inch,JRacenstein,JRacenstein,73.17,36.59,2,2,2,101.60,-9.64,91.96,45.98,2025-04-18,2025-10-21,Tools,"exact_gtin, exact_sku"
20027,4 x 10in DI Cartridge Blue/White,Tucker,Tucker,103.72,72.60,1,1,1,90.18,0.00,90.18,90.18,2025-12-02,2025-12-02,Tucker,exact_sku
4157,GP QC 40° 8.0 WHITE NOZZLE,Barrens,Barrens,,3.71,8,1,11,90.00,0.00,90.00,8.18,2025-04-11,2026-01-28,Parts,exact_sku
1888,GP QC 25° 8.0 GREEN NOZZLE,Barrens,Barrens,,3.71,8,1,11,87.50,0.00,87.50,7.95,2025-04-11,2026-03-12,Parts,exact_sku
6874,"4000 PSI 3/8""x25' BLACK NEPTUNE HOSE",Barrens,Barrens,,59.58,1,1,1,85.00,0.00,85.00,85.00,2025-07-10,2025-07-10,Parts,exact_sku
5447,"AL323 SQUARE MOLDED GRIP 24"" LANCE",Barrens,Barrens,,8.59,4,1,4,83.50,0.00,83.50,20.88,2025-04-07,2026-03-17,Tools,exact_sku
24.0066,1/2 Male Thread Stainless Steel Coupler Quick Connect,MPWSR,MPWSR,16.49,10.49,3,1,5,82.50,0.00,82.50,16.50,2025-10-23,2025-12-30,Manatee,exact_sku
20031,PSR Paver Sealer Remover Gel Gallon,INSECO,INSECO,,45.00,1,1,1,79.99,0.00,79.99,79.99,2026-01-12,2026-01-12,None,exact_name
T-ACME-TIP-ALUMINUM,Tucker® ACME Tip,Tucker,Tucker,11.22,7.86,2,2,6,79.14,0.00,79.14,13.19,2026-02-05,2026-03-02,Tucker,"exact_name, exact_sku"
1122,1/4 MEG 25° 4.5 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,4,1,10,80.00,-2.65,77.35,7.74,2025-06-18,2026-02-25,Parts,exact_sku
6626,SUPER SWIV 23129 90 DEG 1/2F X 3/8F 5000 PSI,Barrens,Barrens,,76.00,1,1,1,85.00,-10.00,75.00,75.00,2025-04-21,2025-04-21,Parts,exact_sku
1825,GP QC 40° 5.5 WHITE NOZZLE,Barrens,Barrens,,3.71,5,1,10,75.00,0.00,75.00,7.50,2025-03-18,2026-01-28,Parts,exact_sku
1769,1/4 MEG 25° 3.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,5,1,10,75.00,0.00,75.00,7.50,2025-04-07,2025-08-26,Parts,exact_sku
1401,"AL324 SQUARE MOLDED GRIP 36"" LANCE",Barrens,Barrens,,9.68,3,1,3,74.00,0.00,74.00,24.67,2025-06-24,2025-10-24,Tools,exact_sku
24.0065,1/2 Female Thread Stainless Steel Coupler Quick Connect 24.0065,MPWSR,MPWSR,16.49,10.75,2,1,4,66.00,0.00,66.00,16.50,2025-10-23,2025-12-04,Manatee,exact_sku
2388,SUTTNER ST-36 SLUDGE PUMP 5.5 KIT,Barrens,Barrens,,51.23,1,1,1,65.50,0.00,65.50,65.50,2025-04-08,2025-04-08,Parts,exact_sku
2030,"PA BRASS SWIVEL 1/4"" M/F 4050 PSI",Barrens,Barrens,,15.23,2,1,3,61.50,0.00,61.50,20.50,2025-05-07,2025-05-07,Parts,exact_sku
T-OTT-XL-V2-P,Tucker® Over the Top Rinse Bar Large PLASTIC,Tucker,Tucker,63.12,44.19,1,1,1,61.36,0.00,61.36,61.36,2025-08-05,2025-08-05,Tucker,exact_sku
60040,Female Quick Connect for Pole Hose,Tucker,Tucker,13.67,9.57,2,1,4,61.00,0.00,61.00,15.25,2025-11-26,2026-02-25,Tucker,exact_sku
6505,"BKL 4.0/44-W 4.0GPM 4400PSI 3400RPM 1"" HOLLOW SHAF",Barrens,Barrens,,592.35,1,1,4,60.00,0.00,60.00,15.00,2026-03-14,2026-03-14,Parts,exact_code
VRT3-310EZ,VRT3-310EZ Black Spring Unloader,MPWSR,MPWSR,56.00,35.00,1,1,1,56.00,0.00,56.00,56.00,2025-10-20,2025-10-20,Manatee,exact_sku
