Matched Master SKU,Matched Item Name,Default Vendor Name,Reporting Category,Catalog Price,Default Unit Cost,Sales Lines,Distinct Sales Items,Quantity Sold,Gross Sales,Discounts,Net Sales,Average Realized Unit Price,First Sale Date,Last Sale Date,Sales Categories Observed,Match Types
9712612,Truck Mount Skid CRX680,MPWSR,MPWSR,3500.00,,1,1,1,3500.00,0.00,3500.00,3500.00,2025-04-02,2025-04-02,Equipment,manual_override
99012V,BE Hotbox 8-10 GPM,MPWSR,MPWSR,3899.99,2999.99,1,1,1,3350.00,0.00,3350.00,3350.00,2025-10-23,2025-10-23,None,exact_name
TDJ-JOINTINGGRA,Joint Sand - Grey - 50 lb bag,Trident,Trident,11.50,10.00,22,1,138,3208.50,-32.01,3176.49,23.02,2025-04-04,2026-03-06,Sand,manual_override
6651,"(9)BIG GUY 28"" SC HYDRO-FLOW ALUM W/WHEELS 2-TIP",Barrens,Barrens,,1149.80,2,1,2,3020.75,0.00,3020.75,1510.38,2025-06-17,2025-10-23,Tools,exact_sku
F9EF-P-5,F9 Efflorescence and Calcium Remover - 5 Gallon Pail,Front9,Front9,212.50,,13,1,15,3000.00,-16.29,2983.71,198.91,2025-04-08,2026-02-19,F9,manual_override
TDP-POLYTAN,Polysweep - Tan - 50 lb bag,Trident,Trident,22.25,18.75,29,1,101,2979.50,0.00,2979.50,29.50,2025-03-26,2026-01-30,Sand,manual_override
TDJ-JOINTINGTFLD,Joint Sand - Fieldstone - 50 lb bag,Trident,Trident,15.25,13.00,25,1,112,2973.60,-4.71,2968.89,26.51,2025-04-07,2026-01-24,Sand,manual_override
TSF2021,TSF2021 Pump General Pump Bare Pump,MPWSR,MPWSR,975.00,780.00,3,1,3,2925.00,0.00,2925.00,975.00,2025-12-02,2026-02-20,Parts,exact_code
TDJ-JOINTINGTAN,Joint Sand - Tan - 50 lb bag,Trident,Trident,11.50,10.00,37,1,122,2836.50,0.00,2836.50,23.25,2025-03-19,2026-03-16,Sand,manual_override
TDJ-JOINTINGBLA,Joint Sand - Black - 50 lb bag,Trident,Trident,19.00,16.25,21,1,92,2649.60,-25.59,2624.01,28.52,2025-04-03,2026-03-04,Sand,manual_override
TDC-POINTBREAKP,Point Break - 5 Gallon Pail,Trident,Trident,245.00,185.00,20,2,25,2628.95,-33.84,2595.11,103.80,2025-03-25,2026-03-06,Trident,exact_base_name
L498970,Sodium Hydroxide - 50 lb Bag,AZCS,Chemicals,150.00,,19,1,17,2550.00,-26.51,2523.49,148.44,2025-04-18,2026-02-25,Chemicals,manual_override
TUCKER-30,Tucker® - 30 Water Fed Pole,Tucker,Tucker,750.16,525.11,3,1,4,2560.00,-67.75,2492.25,623.06,2025-05-30,2026-02-05,Tucker,exact_name
EACOCH-ONERESTORE-5-GALLON-PAIL,OneRestore® - 5 Gallon Pail,EacoChem,EacoChem,174.50,111.60,12,2,13,2404.96,0.00,2404.96,185.00,2025-04-29,2026-02-24,"EaCo Chem, None","exact_base_code_pack, exact_base_name_pack"
6963,"GLADIATOR SMOOTH 6000 GRAY 3/8""x100' 250 DEG",Barrens,Barrens,,153.42,9,2,11,2285.00,0.00,2285.00,207.73,2025-03-25,2026-03-05,Parts,exact_sku
M400-HFAL,"Whisper Wash Mini Mondo Force 31"" Surface Cleaner",MPWSR,MPWSR,2249.99,1899.99,1,1,1,2250.00,0.00,2250.00,2250.00,2025-12-11,2025-12-11,Equipment,manual_override
GA-55K,Gold Assassin 55 gal 2part Kit,MPWSR,MPWSR,600.00,315.00,3,1,5,2250.00,0.00,2250.00,450.00,2025-09-18,2025-12-23,Chemicals,manual_override
F9DE-P-5,F9 Double Eagle Cleaner Degreaser Neutralizer - 5 Gallon Pail,Front9,Front9,194.50,,10,1,13,2275.00,-42.95,2232.05,171.70,2025-04-14,2026-03-04,F9,manual_override
F9BC-G,F9 BARC Rust and Oxidation Remover - 1 Gallon,Front9,Front9,57.50,,34,1,42,2205.00,0.00,2205.00,52.50,2025-03-20,2026-03-10,F9,manual_override
TDS-HURRICAT4K,Hurricane Cat 4 Full Kit,Trident,Trident,315.00,229.00,5,1,7,2275.00,-93.60,2181.40,311.63,2025-05-05,2025-08-08,Trident,exact_base_name
6329,"(20)CLASSIC 19"" HYDRO-FLOW ALUM SC 2-TIP",Barrens,Barrens,,861.91,2,1,2,2111.50,0.00,2111.50,1055.75,2025-08-25,2026-03-17,Parts,exact_sku
1007-24632,EBC Multipurpose Cleaner and Degreaser - 5 Gallon Pail,EnviroBioCleaner,EnviroBioCleaner,139.00,,13,1,15,2105.00,-5.20,2099.80,139.99,2025-03-26,2025-10-20,EBC,manual_override
GA-5G,Gold Assassin 5 Gallon RTU,MPWSR,MPWSR,94.50,75.00,9,1,15,2025.00,0.00,2025.00,135.00,2025-04-03,2026-02-05,Chemicals,manual_override
TRIDEN-WHITE-WATER-5-GALLON-PAIL,White Water - 5 Gallon Pail,Trident,Trident,182.50,137.50,24,2,28,2010.44,-2.79,2007.65,71.70,2025-03-25,2026-03-09,Trident,exact_base_name
EACOCH-ONERESTORE-1-GALLON,OneRestore® - 1 Gallon,EacoChem,EacoChem,42.80,26.45,30,1,39,1939.42,-77.13,1862.29,47.75,2025-03-26,2026-03-09,EaCo Chem,exact_base_code_pack
F9BC-P-5,F9 BARC Rust and Oxidation Remover - 5 Gallon Pail,Front9,Front9,212.50,,8,1,9,1800.00,0.00,1800.00,200.00,2025-05-07,2025-10-23,F9,manual_override
TDJ-JOINTINGPLA,Joint Sand - Platinum - 50 lb bag,Trident,Trident,16.75,14.50,18,1,69,1762.95,0.00,1762.95,25.55,2025-04-15,2026-03-13,Sand,manual_override
5338,WW311 REBUILT CARTRIDGE FOR WW312 SERIES 3 GREEN T,Barrens,Barrens,,207.76,7,1,7,1648.00,0.00,1648.00,235.43,2025-04-21,2026-03-16,Parts,exact_sku
EACOCH-NMD-80-1-GALLON,NMD 80® - 1 Gallon,EacoChem,EacoChem,27.90,15.20,21,1,46,1566.88,-50.77,1516.11,32.96,2025-03-26,2026-03-17,EaCo Chem,exact_base_code_pack
B4213HACS,"PW, GAS 389CC, 4200PSI@4.2GPM GX390, ZWD, ALUM FRM",BE,BE,,1114.00,1,1,1,1495.00,0.00,1495.00,1495.00,2026-02-19,2026-02-19,Equipment,exact_sku
6292,"Nickel Plated 3/8"" 3050 PSI Ball Valve",Barrens,Barrens,,38.51,19,1,29,1450.00,-3.25,1446.75,49.89,2025-04-11,2026-03-13,Parts,exact_sku
RAMP208-100,"RAMP208-100: RAMPAGE BEAST 100' Smooth Gray 1/2"" Double Wire 6200 PSI High Pressure Hose",MPWSR,MPWSR,249.99,130.88,2,1,5,1249.95,0.00,1249.95,249.99,2025-10-23,2025-12-04,Manatee,exact_sku
EACOCH-ACRYLICSTRIP-1-GALLON,AcrylicStrip - 1 Gallon,EacoChem,EacoChem,53.00,34.90,16,2,18,1152.45,-17.88,1134.57,63.03,2025-04-15,2026-03-11,EaCo Chem,exact_base_name_pack
7009,"(16) 3/8"" x 300' 5,000 PSI A-Frame Hose Reel DHRA50300",Barrens,Barrens,,246.85,3,1,3,1106.50,0.00,1106.50,368.83,2025-04-07,2026-01-20,Tools,exact_sku
7008,"A-FRAME HOSE REEL 3/8""x150' 5000PSI",Barrens,Barrens,,234.08,2,1,3,1067.25,0.00,1067.25,355.75,2025-08-18,2026-02-19,Tools,exact_sku
TDC-SAFEHARBRP,Safe Harbor - 5 Gallon Pail,Trident,Trident,333.50,250.00,10,1,15,1050.93,0.00,1050.93,70.06,2025-03-18,2026-03-06,Trident,exact_base_name
TUCKER-40,Tucker® - 40 Water Fed Pole,Tucker,Tucker,1050.82,735.57,1,1,1,995.00,0.00,995.00,995.00,2025-10-06,2025-10-06,Tucker,exact_name
1699,SUTTNER ST-54 DUAL LANCE W/SIDE HANDLE 4500 PSI MA,Barrens,Barrens,,51.08,11,1,11,836.25,0.00,836.25,76.02,2025-03-24,2026-03-12,Parts,exact_code
4654,SUTTNER ST-2305 SPRAY GUN W/ RELAXED ACTION,Barrens,Barrens,,32.53,16,1,20,811.50,0.00,811.50,40.58,2025-03-21,2026-03-09,Tools,exact_sku
7032,X-Jet M5 Variable Nozzle #20 Kit,Barrens,Barrens,,151.50,4,1,4,802.25,0.00,802.25,200.56,2025-04-01,2025-12-11,Tools,exact_sku
HFQ-SP-BG,XForce Stainless Steel Performance 4 Tip Bar for Whisper Wash Surface Cleaner - Big Guy,MPWSR,MPWSR,399.00,339.15,2,1,2,780.00,0.00,780.00,390.00,2025-10-13,2025-10-24,Manatee,exact_sku
1696,"(10)ZZDBL36"" HEAVY DUTY DUAL LANCE",Barrens,Barrens,,91.92,4,1,5,768.00,0.00,768.00,153.60,2025-06-17,2025-12-11,Parts,exact_sku
6962,"GLADIATOR SMOOTH 6000 GRAY 3/8""x50' 250 DEG",Barrens,Barrens,,90.44,5,1,6,750.00,0.00,750.00,125.00,2025-04-02,2025-06-17,Tools,exact_sku
EACOCH-ACRYLICSTRIP-5-GALLON-PAIL,AcrylicStrip - 5 Gallon Pail,EacoChem,EacoChem,225.00,149.00,2,1,3,735.00,-9.87,725.13,241.71,2025-10-16,2025-11-14,EaCo Chem,exact_base_name_pack
4630,"QC SOCKET 3/8"" FNPT STAINLESS STEEL",Barrens,Barrens,,5.30,33,1,52,702.00,0.00,702.00,13.50,2025-04-21,2026-03-12,Parts,exact_sku
2025,"QC SOCKET 3/8"" MNPT STAINLESS STEEL",Barrens,Barrens,,5.30,37,1,52,702.00,-4.15,697.85,13.42,2025-03-21,2026-03-17,Parts,exact_sku
RAMP206-50,"RAMP206-50: RAMPAGE BEAST 50' Smooth Gray 3/8"" Double Wire 7300 PSI High Pressure Hose",MPWSR,MPWSR,129.99,70.36,4,1,5,649.95,0.00,649.95,129.99,2025-09-05,2026-03-11,Manatee,exact_sku
5337,WW312 SERIES 3 GREEN TOP SWIVEL,Barrens,Barrens,,392.44,2,1,2,630.00,0.00,630.00,315.00,2025-04-02,2025-05-10,Parts,exact_sku
11019,22 Gallon Aluminum Gas Tank Boyd's Tanks,MPWSR,MPWSR,649.99,439.99,1,1,1,615.00,0.00,615.00,615.00,2025-10-23,2025-10-23,None,exact_name
3682,"X-FORCE ALUMINUM SPRAY BAR 4 TIP BIG GUY 28""",Barrens,Barrens,,123.93,4,1,4,580.00,0.00,580.00,145.00,2025-05-07,2025-10-31,Parts,exact_sku
EACOCH-C-TAR-MELT-1-GALLON,C-Tar Melt - 1 Gallon,EacoChem,EacoChem,55.00,39.45,8,1,9,577.48,0.00,577.48,64.16,2025-04-29,2026-01-08,EaCo Chem,exact_base_name_pack
7019,X-Jet DS Twist Adjustable Soaper Nozzle 3-7 GPM,Barrens,Barrens,,69.73,6,1,6,516.00,0.00,516.00,86.00,2025-06-24,2026-03-17,Tools,exact_sku
GA-1G,Gold Assassin 1 Gal,MPWSR,MPWSR,23.60,16.50,10,2,11,500.00,-22.27,477.73,43.43,2025-03-18,2026-03-09,"Chemicals, None","exact_base_name, exact_name"
3592,XFORCE-ALUMINUM SPRAY BAR 4 TIP FOR GROUNDFORCE 24,Barrens,Barrens,,116.65,4,1,4,467.25,0.00,467.25,116.81,2025-03-27,2025-09-09,Parts,exact_sku
4818,ROTOJET 5800 PSI 8.0 NOZZLE,Barrens,Barrens,,110.80,3,1,3,463.00,0.00,463.00,154.33,2025-07-16,2025-12-11,Parts,exact_sku
4629,"QC SOCKET 1/4"" MNPT STAINLESS STEEL",Barrens,Barrens,,4.50,32,1,46,466.00,-6.24,459.76,9.99,2025-03-26,2026-03-17,Parts,exact_sku
EACOCH-CLEANSOL-BC-1-GALLON,Cleansol BC - 1 Gallon,EacoChem,EacoChem,36.20,19.80,9,1,11,455.44,0.00,455.44,41.40,2025-06-23,2026-02-06,EaCo Chem,exact_base_name_pack
7166,"20"" WHIRL-A-WAY ABS POLYMER COVER",Barrens,Barrens,,472.39,1,1,1,450.00,0.00,450.00,450.00,2025-06-17,2025-06-17,Tools,exact_sku
4960,"QC PLUG 3/8"" MNPT STAINLESS STEEL",Barrens,Barrens,,2.19,35,1,56,448.00,-2.08,445.92,7.96,2025-04-21,2026-03-09,Parts,exact_sku
6955,SUTTNER ST-2305 SAFETY ORANGE GUN,Barrens,Barrens,,34.69,10,1,11,444.25,-4.69,439.56,39.96,2025-04-24,2026-03-17,Tools,exact_sku
4959,"QC PLUG 3/8"" FNPT STAINLESS STEEL",Barrens,Barrens,,2.19,33,1,48,408.00,0.00,408.00,8.50,2025-03-26,2026-03-12,Parts,exact_sku
6766,X-Jet M5 Variable Nozzle #16 Kit,Barrens,Barrens,,151.50,2,1,2,390.75,0.00,390.75,195.38,2025-07-28,2025-10-22,Tools,exact_sku
RAMP206-200,"RAMP206-200: RAMPAGE BEAST 200' Smooth Gray 3/8"" Double Wire 7300 PSI High Pressure Hose",MPWSR,MPWSR,389.99,229.20,1,1,1,389.99,0.00,389.99,389.99,2025-09-16,2025-09-16,Manatee,exact_sku
4803,ROTOJET 3700 PSI 5.5 NOZZLE,Barrens,Barrens,,39.72,5,1,6,372.75,0.00,372.75,62.12,2025-04-07,2026-02-14,Parts,exact_sku
20025/26,"2.5 x 10"" Sediment / Carbon Combo Filter",Tucker,Tucker,28.10,19.68,9,1,12,347.88,0.00,347.88,28.99,2025-04-01,2026-02-25,Tucker,exact_sku
7020,X-Jet DS Twist Adjustable Soaper Nozzle 7-12 GPM,Barrens,Barrens,,69.73,3,1,4,340.50,0.00,340.50,85.12,2025-05-06,2026-02-21,Tools,exact_sku
7013,X-Jet DS Twist Adjustable Soaper Nozzle 2-3 GPM,Barrens,Barrens,,69.73,4,1,4,340.50,0.00,340.50,85.12,2025-04-24,2025-12-09,Tools,exact_sku
EACOCH-EF-FORTLESS-5-GALLON-PAIL,EF-Fortless - 5 Gallon Pail,EacoChem,EacoChem,146.65,81.20,2,1,2,329.99,0.00,329.99,165.00,2025-05-08,2026-01-14,EaCo Chem,exact_base_name_pack
6168,55.153 MOSMATIC DYC CARBIDE SWIVEL 3/8FPT X 3/8MPT,Barrens,Barrens,,266.83,1,1,1,375.75,-69.76,305.99,305.99,2025-08-27,2025-08-27,Parts,exact_sku
EACOCH-GLORY-TRUCKWASH-BC-5-GALLON-PAIL,Glory Truckwash BC - 5 Gallon Pail,EacoChem,EacoChem,126.10,78.20,2,1,2,300.00,0.00,300.00,150.00,2025-06-03,2025-06-20,EaCo Chem,exact_base_name_pack
20.0033,DN-15 Ball Valve,MPWSR,MPWSR,66.45,52.99,2,1,4,279.08,0.00,279.08,69.77,2025-12-04,2026-02-04,Manatee,exact_sku
6467,Suttner 5000 PSI ST-456 5.5 Rotary Pressure Washer Nozzle - Light Blue,Barrens,Barrens,,79.06,3,1,3,275.75,0.00,275.75,91.92,2025-11-14,2026-01-12,Parts,exact_sku
4641,ST-457 8.0 TURBO NOZZLE 6000 PSI 212 DEG ORANGE,Barrens,Barrens,,109.38,2,1,2,271.50,-9.05,262.45,131.22,2026-01-13,2026-03-13,Parts,exact_sku
2024,"QC SOCKET 1/4"" FNPT STAINLESS STEEL",Barrens,Barrens,,4.50,19,1,26,245.50,0.00,245.50,9.44,2025-03-21,2026-03-17,Parts,exact_sku
5331,"HYDRO-FLOW SPRAY BAR 2 TIP CLASSIC 19""",Barrens,Barrens,,69.92,3,1,3,246.75,-6.15,240.60,80.20,2025-05-12,2025-09-09,Parts,exact_sku
