SKU,Item Name,Default Vendor Name,Default Unit Cost,Master Price,Current Selling Price,Last Price Update Date,Last Price Update Reason
1082,QC-MEG 0005 SPRAY NOZZLE RED HEAD,Barrens,5.48,,,,
1084,QC-MEG 00045 SPRAY NOZZLE RED HEAD,Barrens,5.48,,,,
1085,QC-MEG 0004 SPRAY NOZZLE RED HEAD,Barrens,5.48,,,,
1086,1/4 MEG 4020 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1087,1/4 MEG 4015 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1088,1/4 MEG 4013 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1089,1/4 MEG 4012 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1090,1/4 MEG 4011 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1092,1/4 MEG 4010 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1093,1/4 MEG 4009 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1095,1/4 MEG 4008 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1096,1/4 MEG 4007 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1098,1/4 MEG 40065 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1099,1/4 MEG 4006 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1100,1/4 MEG 40055 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1102,1/4 MEG 4005 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1103,1/4 MEG 40045 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1104,1/4 MEG 4004 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1106,1/4 MEG 2520 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1107,1/4 MEG 2515 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1108,1/4 MEG 2512 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1109,1/4 MEG 2511 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1110,QC-MEG 40065 SPRAY NOZZLE WHITE HEAD,Barrens,5.48,,,,
1111,1/4 MEG 2510 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1112,1/4 MEG 2509 WASHJET SPRAY NOZZLE,Barrens,5.19,,,,
1113,"3000 PSI 1/2""x50' BLACK NEPTUNE HOSE",Barrens,155.17,,,,
1114,1/4 MEG 2508 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1115,1/4 MEG 2507 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1117,1/4 MEG 25065 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1118,1/4 MEG 2506 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1119,1/4 MEG 25055 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1121,1/4 MEG 2505 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1122,1/4 MEG 25045 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1123,1/8 MEG 2505 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1124,1/4 MEG 2504 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1125,1/4 MEG 25035 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1127,BRASS 1/4 VEEJET 6530 SOAPER NOZZLE,Barrens,3.02,,,,
1128,1/4 MEG 1520 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1129,1/4 MEG 1515 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1131,1/4 MEG 1513 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1132,1/4 MEG 1512 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1135,1/4 MEG 1511 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1136,1/4 MEG 1510 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1137,1/4 MEG 1509 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1138,1/4 MEG 1508 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1139,1/4 MEG 1507 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1140,1/4 MEG 15065 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1141,1/4 MEG 1506 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1142,1/4 MEG 15055 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1143,1/4 MEG 1505 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1145,1/4 MEG 15045 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1146,1/4 MEG 1504 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1148,1/4 MEG 15035 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1149,BRASS 1/4 VEEJET 4030 SOAPER NOZZLE,Barrens,3.02,,,,
1150,1/4 MEG 1503 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1151,1/4 MEG 1502 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1152,1/4 MEG 0010 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1153,1/4 MEG 0009 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1154,1/4 MEG 0008 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1156,1/4 MEG 0007 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1158,1/4 MEG 00065 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1159,1/4 MEG 0006 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1160,1/4 MEG 00055 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1161,1/4 MEG 0005 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1162,1/4 MEG 00045 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1163,1/4 MEG 0004 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1164,480440 O-RING INLET FITTING ON GYMATIC,Barrens,0.86,,,,
1165,1/4 MEG 00035 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1167,1/4 MEG 0003 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1168,BRASS 1/4 VEEJET 4040 SOAPER NOZZLE,Barrens,3.03,,,,
1170,1/4 MEG 0002 WASHJET SPRAY NOZZLE,Barrens,5.39,,,,
1171,BRASS HOSE BARB 1/2 HOSE X 1/2 MPT,Barrens,2.94,,,,
1172,BRASS HOSE BARB 1/2 HOSE X 3/8 MPT,Barrens,2.34,,,,
1173,BRASS HOSE BARB 1/2 HOSE X 1/4 MPT,Barrens,1.55,,,,
1174,(300)BRASS HOSE BARB 3/8 HOSE X 1/2 MPT,Barrens,3.35,,,,
1175,BRASS HOSE BARB 3/8 HOSE X 3/8 MPT,Barrens,1.98,,,,
1176,BRASS HOSE BARB 3/8 HOSE X 1/4 MPT,Barrens,1.87,,,,
1177,BRASS HOSE BARB 1/4 HOSE X 1/2 MPT,Barrens,2.66,,,,
1181,BRASS HOSE BARB 1/4 HOSE X 3/8 MPT,Barrens,1.63,,,,
1184,BRASS HOSE BARB 1/4 HOSE X 1/4 MPT,Barrens,1.98,,,,
1185,ROTOMAX REPAIR KIT 190040,Barrens,28.05,,,,
1187,1981801 SPRING,Barrens,1.48,,,,
1188,1982240 BALL,Barrens,1.27,,,,
1189,GP SOCKET HEAD SCREW FOR SLIDE HAMMER,Barrens,3.76,,,,
1190,1/8 MEG 4005 WASHJET SPRAY NOZZLE,Barrens,5.34,,,,
1191,"O-RING BUNA-N FOR 3/8"" QC SOCKETS",Barrens,0.52,,,,
1197,BRASS 1/4 VEEJET 4020 SOAPER NOZZLE,Barrens,3.02,,,,
1201,3000 PSI 3/8x50' WHITEWATER HOSE,Barrens,184.01,,,,
1202,"4500 PSI 3/8""x8' WHIP LINE M/MS",Barrens,36.08,,,,
1203,"4500 PSI 3/8""x6' WHIP LINE M/MS",Barrens,30.74,,,,
1204,"4500 PSI 3/8""x4' WHIP LINE M/MS",Barrens,24.63,,,,
1207,"4500 PSI 3/8""x50' BLACK NEPTUNE HOSE",Barrens,144.79,,,,
1210,"O-RING BUNA-N FOR 1/4"" QC SOCKETS",Barrens,0.38,,,,
1214,"BURNER MOTOR 120V/60HZ, 1/5HP, 3450RPM",Barrens,161.18,,,,
1215,SUNTEC R642NL 115V SOLENOID VALVE,Barrens,58.81,,,,
1220,K7.0 UNLOADER 2.1-3.0 GPM 3500PSI,Barrens,135.31,,,,
1222,49948 CAT DIP STICK,Barrens,16.94,,,,
1241,"ZGR0750 RS99 2.4 TO 1 GEAR REDUCER FOR 3/4"" SHAFTE",Barrens,318.63,,,,
1247,34063 KIT SLEEVE & SEAL NBR 4SF,Barrens,241.23,,,,
1249,(50)SUTTNER ST-6 FLOW SWITCH 8GPM 4380PSI,Barrens,42.05,,,,
1252,"WOOD HANDLE W/PLASTIC THREADS,15/16""x60""",Barrens,9.09,,,,
1270,ROBOKIM REPAIR KIT #190000,Barrens,6.77,,,,
1274,1420430 CERAMIC PISTON 20mmx13mmx45mm,Barrens,49.89,,,,
1275,BRASS 1/4 VEEJET 6540 SOAPER NOZZLE,Barrens,3.02,,,,
1281,"QC PLUG 1/2"" MPT BRASS",Barrens,3.22,,,,
1282,PA ADJUSTABLE NOZZLE HOLDER 1/4 FPT I/O,Barrens,11.47,,,,
1285,WEIGHTED PLASTIC CHEMICAL STRAINER W/CHECK VALVE,Barrens,2.45,,,,
1286,"Y STRAINER 1/2"" BRASS W/S.S. SCREEN",Barrens,9.59,,,,
1287,"Y STRAINER 3/4"" BRASS W/S.S. SCREEN",Barrens,13.74,,,,
1288,KIT 07 HEADRINGS,Barrens,13.32,,,,
1290,3/4 MALE GARDEN HOSE X 3/8 MPT,Barrens,2.79,,,,
1291,(50) ST-1500H OPEN GUN 12 GPM 4000 PSI,Barrens,15.43,,,,
1295,"SWIVEL BRASS 3/8"" M/F, 3000PSI, 302F",Barrens,10.72,,,,
1296,"METERING VALVE BRASS 1/4""FPT, 4000 PSI",Barrens,24.19,,,,
1299,"(20)PA PRESSURE SWITCH 1/4""MPT 15 AMP",Barrens,23.24,,,,
1305,"NOZZLE PROTECTOR SLIP-ON 1/4""",Barrens,1.46,,,,
1307,"SALZER M225US1A1789-00 110V 20A 1 7/8"" F.P. SINGLE",Barrens,55.98,,,,
1308,"SALZER M225US1A1843-00 220V 20A 1 7/8"" F.P. SINGLE",Barrens,63.11,,,,
1312,"*Y60080331 BANJO BOLT 3/8"" BSPP VB135",Barrens,23.91,,,,
1313,"AWD3030G-K 3GPM 3000PSI 1"" GAS FLANGE",Barrens,359.00,,,,
1314,60A RED 1.00 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1315,60A RED 1.20 GPH HOLLOW CONE NOZZLE,Barrens,8.24,,,,
1316,60A RED 1.35 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1317,60A RED 1.50 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1318,60A RED 1.75 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1320,60A RED 4.00 GPH HOLLOW CONE NOZZLE,Barrens,12.01,,,,
1321,60B BLUE 1.00 GPH SOLID CONE NOZZLE,Barrens,8.25,,,,
1322,60B BLUE 1.20 GPH SOLID CONE NOZZLE,Barrens,8.25,,,,
1323,60B BLUE 1.25 GPH SOLID CONE NOZZLE,Barrens,8.24,,,,
1324,60B BLUE 1.35 GPH SOLID CONE NOZZLE,Barrens,8.24,,,,
1325,60B BLUE 1.50 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1326,60B BLUE 1.75 GPH SOLID CONE NOZZLE,Barrens,8.24,,,,
1327,60B BLUE 2.25 GPH SOLID CONE NOZZLE,Barrens,12.01,,,,
1328,70A RED 1.00 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1329,70A RED 1.50 GPH HOLLOW CONE NOZZLE,Barrens,8.24,,,,
1330,70A RED 1.75 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1331,70B BLUE 1.25 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1332,BAYONET BOLT KIT FOR VB75,Barrens,63.67,,,,
1334,70B BLUE 1.75 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1335,70B BLUE 2.00 GPH SOLID CONE NOZZLE,Barrens,12.46,,,,
1336,70B BLUE 2.25 GPH SOLID CONE NOZZLE,Barrens,12.71,,,,
1337,70B BLUE 2.50 GPH SOLID CONE NOZZLE,Barrens,12.01,,,,
1338,70B BLUE 2.75 GPH SOLID CONE NOZZLE,Barrens,12.01,,,,
1339,70B BLUE 3.00 GPH SOLID NOZZLE,Barrens,12.01,,,,
1341,2260420 INLET BOLT BRASS,Barrens,7.41,,,,
1343,80A RED 1.00 GPH HOLLOW CONE NOZZLE,Barrens,8.24,,,,
1344,80A RED 1.25 GPH HOLLOW CONE NOZZLE,Barrens,8.24,,,,
1345,80A RED 1.35 GPH HOLLOW CONE NOZZLE,Barrens,8.24,,,,
1346,80A RED 1.50 GPH HOLLOW CONE NOZZLE,Barrens,8.25,,,,
1347,80A RED 1.65 GPH HOLLOW CONE NOZZLE,Barrens,8.25,,,,
1348,80A RED 1.75 GPH HOLLOW CONE NOZZLE,Barrens,8.25,,,,
1349,80A RED 2.00 GPH HOLLOW CONE NOZZLE,Barrens,12.46,,,,
1350,80A RED 2.25 GPH HOLLOW CONE NOZZLE,Barrens,12.71,,,,
1351,80A RED 2.50 GPH HOLLOW CONE NOZZLE,Barrens,12.71,,,,
1352,80A RED 2.75 GPH HOLLOW CONE NOZZLE,Barrens,12.71,,,,
1353,80A RED 3.00 GPH HOLLOW CONE NOZZLE,Barrens,12.01,,,,
1354,80B BLUE 1.00 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1355,80B BLUE 1.10 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1356,80B BLUE 1.20 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1357,80B BLUE 1.25 GPH SOLID CONE NOZZLE,Barrens,8.25,,,,
1358,80B BLUE 1.35 GPH SOLID CONE NOZZLE,Barrens,8.24,,,,
1359,80B BLUE 1.50 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1360,80B BLUE 1.65 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1361,80B BLUE 1.75 GPH SOLID CONE NOZZLE,Barrens,8.25,,,,
1362,80B BLUE 2.00 GPH SOLID CONE NOZZLE,Barrens,12.46,,,,
1363,80B BLUE 2.25 GPH SOLID CONE NOZZLE,Barrens,12.71,,,,
1364,80B BLUE 2.50 GPH SOLID CONE NOZZLE,Barrens,12.71,,,,
1365,80B BLUE 2.75 GPH SOLID CONE NOZZLE,Barrens,12.71,,,,
1366,80B BLUE 3.00 GPH SOLID CONE NOZZLE,MPWSR,12.99,20.00,20.00,,
1367,80B BLUE 3.25 GPH SOLID CONE NOZZLE,Barrens,12.01,,,,
1368,80B BLUE 3.50 GPH SOLID CONE NOZZLE,Barrens,12.01,,,,
1369,80B BLUE 4.00 GPH SOLID CONE NOZZLE,Barrens,12.01,,,,
1370,90A RED 1.00 GPH HOLLOW CONE NOZZLE,Barrens,8.24,,,,
1371,90A RED 1.25 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1372,90A RED 1.35 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1373,90A RED 1.50 GPH HOLLOW CONE NOZZLE,Barrens,8.24,,,,
1374,90A RED 1.65 GPH HOLLOW CONE NOZZLE,Barrens,8.25,,,,
1375,90A RED 1.75 GPH HOLLOW CONE NOZZLE,Barrens,7.78,,,,
1376,90A RED 2.00 GPH HOLLOW CONE NOZZLE,Barrens,12.46,,,,
1377,90A RED 2.25 GPH HOLLOW CONE NOZZLE,Barrens,12.01,,,,
1378,90A RED 2.50 GPH HOLLOW CONE NOZZLE,Barrens,12.71,,,,
1379,90A RED 3.00 GPH HOLLOW CONE NOZZLE,Barrens,12.71,,,,
1380,90A RED 2.75 GPH HOLLOW CONE NOZZLE,Barrens,12.01,,,,
1381,90A RED 4.00 GPH HOLLOW CONE NOZZLE,Barrens,12.01,,,,
1382,90B BLUE 1.10 GPH SOLID CONE NOZZLE,Barrens,7.78,,,,
1383,90B BLUE 2.25 GPH SOLID NOZZLE,Barrens,12.71,,,,
1384,90B BLUE 1.35 GPH SOLID CONE NOZZLE,Barrens,8.25,,,,
1385,90B BLUE 1.50 GPH SOLID CONE NOZZLE,Barrens,8.25,,,,
1386,90B BLUE 1.75 GPH SOLID CONE NOZZLE,Barrens,8.24,,,,
1387,90B BLUE 2.00 GPH SOLID CONE NOZZLE,Barrens,12.46,,,,
1388,90B BLUE 2.50 GPH SOLID NOZZLE,Barrens,12.71,,,,
1389,90B BLUE 2.75 GPH SOLID NOZZLE,Barrens,12.71,,,,
1390,90B BLUE 3.00 GPH SOLID NOZZLE,Barrens,12.71,,,,
1391,90B BLUE 3.25 GPH SOLID NOZZLE,Barrens,12.71,,,,
1392,90B BLUE 3.50 GPH SOLID NOZZLE,Barrens,12.71,,,,
1393,(5)K7.1 UNLOADER 3.0-4.2 GPM 3500PSI,Barrens,135.31,,,,
1394,(5)K7.2 UNLOADER 4.2-6.6 GPM 3500PSI,Barrens,135.31,,,,
1395,K7.3 UNLOADER 6.6-10.8 GPM 3500PSI,Barrens,135.31,,,,
1396,(25)ST-261 UNLOADER 8GPM 3600 PSI,Barrens,55.41,,,,
1397,ST-261-I UNLOADER W/INJECTOR 2.4mm,Barrens,63.01,,,,
1398,"(50)AL352 MOLDED GRIP 12"" LANCE",Barrens,10.35,,,,
1400,KIT 2591 OIL SEALS XJV ALUM SHAFT,Barrens,12.86,,,,
1401,"AL324 MOLDED GRIP 36"" LANCE",Barrens,9.68,,,,
1402,"AL325 MOLDED GRIP 48"" LANCE",Barrens,15.19,,,,
1403,"AL328 MOLDED GRIP 79"" LANCE",Barrens,29.07,,,,
1404,"VACUUM SWITCH 1.5"" HG 1/4 FPT",Barrens,39.75,,,,
1405,"(20)VACUUM SWITCH 2.5"" HG 1/4 FPT",Barrens,39.75,,,,
1412,"(20)PA PRESSURE SWITCH 3/8""MPT 15 AMP",Barrens,26.45,,,,
1413,ROTOMAX #1 ROTATING NOZZLE (RED DOT),Barrens,62.52,,,,
1414,ROTOMAX #2 ROTATING NOZZLE (BLUE DOT),Barrens,62.52,,,,
1415,ROTOMAX #3 ROTATING NOZZLE (BLACK DOT),Barrens,62.52,,,,
1416,KIT 01 CHECK VALVES *6 EA*,Barrens,49.73,,,,
1417,KIT 02 PISTON ROD OIL SEALS *3 EA*,Barrens,7.79,,,,
1418,KIT 08 PACKING 20mm,Barrens,52.01,,,,
1419,KIT 12 PACKING 22MM *NEW STYLE*,Barrens,60.67,,,,
1420,KIT 16 V-PACKING & SEALS,Barrens,92.29,,,,
1421,KIT 19 PACKINGS 20mm *NEW STYLE*,Barrens,47.01,,,,
1422,KIT 83 OIL SEAL,Barrens,20.78,,,,
1425,"20288 BLOWER WHEEL, 3.44""x5.25""x1/2"" WAYNE E",Barrens,20.81,,,,
1426,"21854 BLOWER WHEEL, 6.25""x4.00""H.D FOR 1/2"" SHAFT",Barrens,39.10,,,,
1427,"12945-SER BUSS BAR COPPER ""G-SHAPED""",Barrens,5.97,,,,
1428,13279 COUPLING-MODEL E,Barrens,5.18,,,,
1429,13286 PAIR ELECTRODE/INSULATOR MODEL E&M,Barrens,35.50,,,,
1430,"20372/31421-001 FAN HOUSING ASSY WAYNE E 6.25""",Barrens,112.63,,,,
1431,"12484 GASKET, STANDARD LARGE",Barrens,13.39,,,,
1432,"BURNER MOTOR 230V/60HZ, 1/4HP, 3450RPM",Barrens,159.20,,,,
1435,31156 TUNE UP KIT E&M,Barrens,63.29,,,,
1437,A2VA-7116 SUNTEC FUEL PUMP,Barrens,135.12,,,,
1439,A2YA-7916 SUNTEC FUEL PUMP,Barrens,183.64,,,,
1440,"1/2"" MPT HIGH LIMIT SWITCH 230 DEG F",Barrens,43.68,,,,
1441,"1/2"" MPT HIGH LIMIT SWITCH 330 DEG F",Barrens,44.09,,,,
1444,"3/8"" MPT HIGH LIMIT SWITCH 230 DEG F",Barrens,44.49,,,,
1452,ST-261-I UNLOADER W/INJECTOR 1.8mm,Barrens,63.01,,,,
1453,ST-261-I UNLOADER W/INJECTOR 2.1mm,Barrens,63.01,,,,
1455,1/8 MEG 0003 WASHJET SPRAY NOZZLE,Barrens,5.34,,,,
1458,"4500 PSI 3/8""x100' BLACK NEPTUNE HOSE",Barrens,275.38,,,,
1460,2500 PSI 1/2x50' WHITEWATER COMBO HOSE,Barrens,267.56,,,,
1461,QC-MEG 00035 SPRAY NOZZLE RED HEAD,Barrens,5.48,,,,
1466,60B BLUE 3.00 GPH SOLID CONE NOZZLE,Barrens,12.01,,,,
1467,"16' *13' & 3'* 3/8"" PVC CLEARBRAID HOSE FOR X-JET",Barrens,9.43,,,,
1470,"F40 GAS FLANGE XMV, SXMV 1"" HOLLOW SHAFT",Barrens,31.15,,,,
1471,"F-41 FLANGE RKV, XRCV, XRV",Barrens,31.15,,,,
1475,(50) SUTTNER ST-1500 SPRAY GUN 10.4 GPM 5000 PSI,Barrens,26.54,,,,
1477,(35) SUTTNER ST-2000 TRIGGER GUN 10.4GPM 5000,Barrens,30.31,,,,
1479,ST-810 FRONT ENTRY SPRAY GUN 3050 PSI,Barrens,22.68,,,,
1480,GIANT 21250B TRIGGER GUN 10GPM 5000PSI,Barrens,35.10,,,,
1481,GIANT 22648 FLOW ACTUATED UNLOADER,Barrens,139.37,,,,
1482,GIANT 22655 FLOW ACTUATED UNLOADER,Barrens,139.37,,,,
1483,RACOR COMPLETE FUEL FILTER ASSY. *140R*,Barrens,98.60,,,,
1484,RACOR R12T REPL. ELEMENT W/GASKETS,Barrens,24.68,,,,
1489,PKG. XJET PROPORTIONERS *COLOR CODED*,Barrens,18.03,,,,
1492,"SINGLE ROLL TEFLON TAPE 1/2"" x 520""",Barrens,1.06,,,,
1494,K5.1E UNLOADER 3.0-4.2 GPM 1450-3000PSI,Barrens,112.87,,,,
1495,BOX OF 10 S.S. #4 MICRO HOSE CLAMPS,Barrens,6.22,,,,
1496,BOX OF 10 S.S. #6 MICRO HOSE CLAMPS,Barrens,6.25,,,,
1499,BOX OF 10 S.S. #6 HOSE CLAMPS,Barrens,8.57,,,,
1500,BOX OF 10 S.S. #8 HOSE CLAMPS,Barrens,8.61,,,,
1501,BOX OF 10 S.S. #10 HOSE CLAMPS,Barrens,8.62,,,,
1502,BOX OF 10 S.S. #12 HOSE CLAMPS,Barrens,8.41,,,,
1503,393957 AIR CLEANER 7-16 HP HORIZONTAL,Barrens,16.54,,,,
1504,271794 PRECLEANER FILTER FOR 393957,Barrens,3.99,,,,
1506,M8x24mm FLAT WASHER FOR 4542 PUCK,Barrens,0.10,,,,
1508,100-131 *394018* AIR CLEANER FOR BRIGGS VANGUARD,Barrens,24.82,,,,
