Sales Category,Sales Item,Sales SKU,Master SKU,Notes
Trident,Hurricane Cat 5 Half Kit,433981T,TDS-HURRICAT5H,"Approved manually; map to the half-kit catalog item and keep the 1/2 / 36-kit packaging context."
Sand,Joint Sand Gray,F438878,TDJ-JOINTINGGRA,"Approved manually."
Sweep Away,PolySweep TAN,757513G,TDP-POLYTAN,"Approved manually."
Sand,Joint Sand Fieldstone,523517Y,TDJ-JOINTINGTFLD,"Approved manually."
Sand,Joint Sand TAN,Z504522,TDJ-JOINTINGTAN,"Approved manually."
Sand,Joint Sand BLACK,X527651,TDJ-JOINTINGBLA,"Approved manually."
Parts,"Whisper Wash Mini Mondo 31""",R535368,M400-HFAL,"Approved manually."
