"Family","RowCount","Has1Gal","Has5Gal","Has55Gal"
"1 4 MEG SURFACECLEANER NOZZLE 2 0 GPM 15 DEGREE 15020","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 2 0 GPM 40 DEGREE 40020","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 2 5 GPM 0 DEGREE 00025","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 2 5 GPM 15 DEGREE 15025","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 2 5 GPM 25 DEGREE 25025","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 2 5 GPM 40 DEGREE 40025","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 5 GPM 0 DEGREE 00035","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 5 GPM 15 DEGREE 15035","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 5 GPM 25 DEGREE 25035","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 5 GPM 40 DEGREE 40035","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 GPM 0 DEGREE 00030","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 GPM 15 DEGREE 15030","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 GPM 25 DEGREE 25030","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 3 GPM 40 DEGREE 40030","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 5 GPM 0 DEGREE 00045","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 5 GPM 15 DEGREE 15045","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 5 GPM 25 DEGREE 25045","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 5 GPM 40 DEGREE 40045","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 GPM 0 DEGREE 00040","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 GPM 15 DEGREE 15040","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 GPM 25 DEGREE 25040","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 4 GPM 40 DEGREE 40040","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 5 GPM 0 DEGREE 00055","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 5 GPM 15 DEGREE 15055","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 5 GPM 25 DEGREE 25055","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 5 GPM 40 DEGREE 40055","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 GPM 0 DEGREE 00050","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 GPM 15 DEGREE 15050","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 GPM 25 DEGREE 25050","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 5 GPM 40 DEGREE 40050","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 6 0 GPM 0 DEGREE 00060","1","False","False","False"
