"NameKey","ItemName","Action","KeptSku","SKU","Price","DefaultUnitCost","DescriptionLength","Vendor"
"1 1 4 MPT X 1 1 4 HOSE BARB","1 1/4"" Mpt x 1 1/4"" Hose Barb","KEEP","BHB125","BHB125","2.92","2.18","57","MPWSR"
"1 1 4 MPT X 3 4 HOSE BARB","1 1/4 Mpt x 3/4"" Hose Barb","KEEP","HB125-075","HB125-075","2.10","1.47","26","MPWSR"
"1 1 4 PVC 90 ELBOW","1 1/4 PVC 90 Elbow","KEEP","406-012","406-012","2.10","1.89","18","MPWSR"
"1 1 4 PVC CAP","1 1/4 PVC Cap","KEEP","447-012","447-012","2.10","1.47","13","MPWSR"
"1 1 4 X 1 2 PVC REDUCER","1 1/4 x 1/2 PVC Reducer","KEEP","438-166","438-166","3.70","2.57","23","MPWSR"
"1 1 4 X 1 PVC REDUCER","1 1/4 x 1 PVC Reducer","KEEP","438-168","438-168","3.70","2.93","21","MPWSR"
"1 1 4 X 2 BLACK NIPPLE","1 1/4 x 2 Black Nipple","KEEP","57121","57121","5.70","4.52","400","MPWSR"
"1 2 14NPT RIGHT ANGLE NYLON CABLE GLANDFOR 39 5","1/2""-14NPT RIGHT ANGLE NYLON CABLE GLANDFOR .39-.5","KEEP","3701","3701","5.99","3.53","50","Barrens"
"1 2 3 WAY SINGLE UNION BALL VALVE","1/2"" 3 Way Single Union Ball Valve","KEEP","9951-3050N","9951-3050N","39.99","29.99","34","MPWSR"
"1 2 304 STAINLESS STEEL ELBOW TITAN REEL","1/2 304 STAINLESS STEEL ELBOW Titan reel","KEEP","62103","62103","8.50","6.25","40","MPWSR"
"1 2 600 PSI GLADIATOR FXF NPT BLUE STEEL LEVER","1/2"" 600 PSI GLADIATOR FxF NPT BLUE STEEL LEVER","KEEP","7473","7473","18.99","12.59","400","Barrens"
"1 2 90 BANJO POLY STREET ELBOW","1/2"" 90 Banjo poly street elbow","KEEP","SL05090","SL05090","5.49","3.75","39","MPWSR"
"1 2 90 DEGREE ELBOW FPT","1/2"" 90 Degree Elbow FPT","KEEP","BEL050-90","BEL050-90","4.50","3.12","47","MPWSR"
"1 2 ALBA AISI 316 SS FXF NPT PTFE W LEVER 1450 PS","1/2"" ALBA AISI 316 SS FxF NPT PTFE W/LEVER 1450 PS","KEEP","7478","7478","50.99","37.73","51","Barrens"
"1 2 ALLEN HEAD PLUG BRASS","1/2 Allen Head Plug Brass","KEEP","28204","28204","3.40","2.39","25","MPWSR"
"1 2 BLACK TUBING PER 10 FOOT LENGTH","1/2 Black Tubing (per 10 foot length)","KEEP","60027-10","60027-10","12.61","8.83","400","Tucker"
"1 2 BLACK UNISEAL PIPE TO TANK SEAL","1/2"" Black Uniseal® Pipe-to-Tank Seal","KEEP","32324","32324","2.25","1.75","400","MPWSR"
"1 2 BLUE CAP HOSE INLET REPLACEMENT CAP","1/2'' Blue Cap Hose Inlet Replacement Cap","KEEP","2045","2045","2.70","1.91","41","MPWSR"
"1 2 BLUE CAP HOSE INLET REPLACEMENT O RING","1/2'' Blue Cap Hose Inlet replacement O Ring","KEEP","MPWSR-1-2-BLUE-CAP-HOSE-INLET-REPLACEM","MPWSR-1-2-BLUE-CAP-HOSE-INLET-REPLACEM","2.10","1.57","44","MPWSR"
"1 2 BLUE CAP HOSE INLET REPLACEMENT SCREEN","1/2'' Blue Cap Hose Inlet replacement Screen","KEEP","MPWSR-1-2-BLUE-CAP-HOSE-INLET-REPLAC-2","MPWSR-1-2-BLUE-CAP-HOSE-INLET-REPLAC-2","5.20","4.19","44","MPWSR"
"1 2 BRASS BULKHEAD","1/2 brass bulkhead","KEEP","28304","28304","19.22","13.45","18","MPWSR"
"1 2 BRASS HOSE INLET LONG","1/2'' brass Hose Inlet LONG","KEEP","MPWSR-1-2-BRASS-HOSE-INLET-LONG","MPWSR-1-2-BRASS-HOSE-INLET-LONG","12.60","8.81","27","MPWSR"
"1 2 BRASS NIPPLE CLOSE","1/2 Brass Nipple Close","KEEP","63016","63016","4.04","2.83","71","Tucker"
"1 2 BRASS PLUG","1/2 Brass Plug","KEEP","63017","63017","3.38","2.37","151","Tucker"
"1 2 BRASS STREET ELBOW","1/2 Brass Street Elbow","KEEP","63005","63005","11.24","7.87","75","Tucker"
"1 2 BRASS TEE","1/2 Brass Tee","KEEP","63020","63020","13.67","9.57","66","Tucker"
"1 2 BULKHEAD","1/2 Bulkhead","KEEP","BTF050","BTF050","14.25","10.50","400","MPWSR"
"1 2 BUNA O RING SINGLE","1/2"" Buna O-Ring (Single)","KEEP","39.0032-1","39.0032-1","0.50","0.35","25","MPWSR"
"1 2 CLEAR POLY BRAIDED HOSE 300FT ROLL","1/2"" Clear Poly Braided Hose - 300ft Roll","KEEP","RAMP-050-CBH-300","RAMP-050-CBH-300","330.00","195.71","356","MPWSR"
"1 2 CLEAR POLY BRAIDED HOSE PER FT","1/2'' Clear Poly Braided Hose (per ft)","KEEP","RAMP-050-CBH-BTF","RAMP-050-CBH-BTF","1.25","0.75","37","MPWSR"
"1 2 CLOSE NIPPLE SS 304","1/2 Close Nipple SS 304","KEEP","48060","48060","6.80","4.78","81","MPWSR"
"1 2 CUBIC FOOT OF TUCKER DI RESIN IN BUCKET","1/2 cubic foot of Tucker DI resin in Bucket","KEEP","20007.5","20007.5","178.72","125.10","400","Tucker"
"1 2 DELTA PLATED BRASS W LEVER 600 PSI","1/2"" DELTA PLATED BRASS W/LEVER 600 PSI","KEEP","7482","7482","42.99","29.49","400","Barrens"
"1 2 ELBOW THREADED BRASS FNPT","1/2 Elbow Threaded BRASS (FNPT)","KEEP","62027","62027","6.83","4.79","84","Tucker"
"1 2 FEMAIL PTF TO 1 2 MALE PTF ELBOW","1/2 femail ptf to 1/2 male ptf elbow","KEEP","12032-ELBOW","12032-ELBOW","13.49","9.45","189","Tucker"
"1 2 FEMALE ADAPTER CAMLOCK","1/2 FEMALE ADAPTER Camlock","KEEP","BANJO75A12","BANJO75A12","7.24","5.10","26","MPWSR"
"1 2 FEMALE NPT MICRO VALVE","1/2 Female NPT Micro Valve","KEEP","BLV050V","BLV050V","24.99","20.36","43","MPWSR"
"1 2 FEMALE PLUG STEEL","1/2"" Female Plug steel","KEEP","24.0077","24.0077","5.00","2.59","72","MPWSR"
"1 2 FEMALE SOCKET BRASS","1/2 Female Socket Brass","KEEP","24.0071","24.0071","12.00","7.99","76","MPWSR"
"1 2 FEMALE X 3 4 FEMALE GHT","1/2 female x 3/4 female GHT","KEEP","63009","63009","13.67","9.57","146","Tucker"
"1 2 FEMALE X 3 4 MALE GHT","1/2 female x 3/4 male GHT","KEEP","63010","63010","7.55","5.29","151","Tucker"
"1 2 FIP SCH 80 PVC BALL VALVE","1/2 FIP SCH 80 PVC BALL VALVE","KEEP","899000","899000","4.20","2.93","29","MPWSR"
"1 2 FNPT LINE STRAINER 80MESH","1/2 FNPT Line Strainer 80mesh","KEEP","62039","62039","39.66","27.77","78","Tucker"
"1 2 FPT SS PLUG","1/2"" FPT SS plug","KEEP","24.0083","24.0083","8.00","4.10","85","MPWSR"
"1 2 FPT SS SOCKET","1/2"" FPT ss socket","KEEP","24.0065","24.0065","16.49","10.75","83","MPWSR"
"1 2 FPT WINGNUT X 3 8 ELBOW HOSE BARB","1/2""FPT WINGNUT X 3/8"" ELBOW HOSE BARB","KEEP","3101","3101","3.99","1.16","38","Barrens"
"1 2 FPT WINGNUT X 3 8 HOSE BARB","1/2""FPT WINGNUT X 3/8"" HOSE BARB","KEEP","3763","3763","3.99","1.16","32","Barrens"
"1 2 GRACO ROCK CATCHER","1/2'' Graco rock catcher","KEEP","14-2351","14-2351","10.00","9.00","400","MPWSR"
"1 2 HIGH PRESSURE CHECK VALVE 5800 PSI","1/2"" high pressure check valve 5800 psi","KEEP","CV3-40012","CV3-40012","42.00","33.59","39","MPWSR"
"1 2 HOSE BARB","1/2"" Hose Barb","KEEP","BHB050","BHB050","1.75","1.25","343","MPWSR"
"1 2 HOSE X 1 2 M PIPE SOLID CRIMP","1/2 Hose x 1/2 M Pipe Solid Crimp","KEEP","AJ08-08MP","AJ08-08MP","22.00","2.90","45","MPWSR"
"1 2 HOSE X 1 2 M PIPE SWIVEL CRIMP","1/2 hose x 1/2 M Pipe Swivel Crimp","KEEP","AJ08-08MPS","AJ08-08MPS","22.00","4.50","34","Manatee"
"1 2 HOSE X 1 2 M PIPE SWIVEL CRIMP","1/2"" Hose x 1/2"" M Pipe Swivel Crimp","DROP","AJ08-08MPS","AJU08-08MPS","20.00","4.58","48","MPWSR"
"1 2 HOSE X 1 2 MP NPTF RIGID CRIMP","1/2 Hose X 1/2 MP NPTF Rigid Crimp","KEEP","AJU08-08MP","AJU08-08MP","20.00","2.90","47","MPWSR"
"1 2 HOSE X 3 8 M PIPE SOLID CRIMP","1/2 hose x 3/8 M Pipe Solid Crimp","KEEP","AJ08-06MP","AJ08-06MP","20.00","2.92","45","MPWSR"
"1 2 HOSE X 3 8 M PIPE SWIVEL CRIMP","1/2 hose x 3/8 M Pipe Swivel Crimp","KEEP","AJ08-06MPS","AJ08-06MPS","20.00","8.44","34","MPWSR"
"1 2 HP MOTOR DUAL PHASE","1/2 hp Motor Dual Phase","KEEP","12023","12023","444.16","310.91","72","Tucker"
"1 2 INJECTOR BYPASS FOR 8 GPM PW","1/2"" Injector Bypass for 8+ GPM PW","KEEP","INJECTORBYPASS2.3-050","INJECTORBYPASS2.3-050","159.99","129.99","34","MPWSR"
"1 2 INLINE HIGH PRESSURE FILTER SS","1/2"" Inline High-Pressure Filter SS","KEEP","101146","101146","49.99","38.80","400","MPWSR"
"1 2 JIC SWIVEL FOR BLOCK MOUNT UNLOADER","1/2 JIC Swivel for Block Mount Unloader","KEEP","1/2""JICSWIVEL","1/2""JICSWIVEL","21.00","14.69","39","MPWSR"
"1 2 JIC X 1 2 JIC SWIVEL ELB FOR ALL WB COMPRESSORS","1/2"" JIC X 1/2"" JIC SWIVEL ELB FOR ALL WB COMPRESSORS","KEEP","42.011.022","42.011.022","24.99","19.00","53","BE"
"1 2 MALE ADAPTER CAMLOCK","1/2 MALE ADAPTER Camlock","KEEP","BANJO050E","BANJO050E","6.55","4.64","24","MPWSR"
"1 2 MALE NPT X 1 2 PTF SWIVELING ELBOW","1/2"" male NPT x 1/2"" PTF swiveling Elbow","KEEP","62051","62051","16.66","11.67","133","Tucker"
"1 2 MALE PLUG STEEL","1/2""Male Plug steel","KEEP","24.0078","24.0078","5.00","2.57","72","MPWSR"
"1 2 MALE SOCKET BRASS","1/2 Male Socket Brass","KEEP","24.0072","24.0072","12.00","7.99","76","MPWSR"
"1 2 MALE THREAD X 1 2 PTF METAL","1/2 male thread x 1/2 PTF Metal","KEEP","62002-M","62002-M","9.57","6.70","251","Tucker"
"1 2 MALE THREAD X 1 2 PTF PLASTIC","1/2 male thread x 1/2 PTF Plastic","KEEP","62002-P","62002-P","9.57","6.70","251","Tucker"
"1 2 MALE THREAD X 3 4 MALE GHT BRASS","1/2 male thread x 3/4 male GHT Brass","KEEP","63008","63008","11.47","8.03","140","Tucker"
"1 2 MALE THREAD X 3 8 PTF","1/2 Male Thread x 3/8 PTF","KEEP","62028","62028","8.19","5.74","74","Tucker"
"1 2 MALE X 3 8 PTF ELBOW REDUCER GAM","1/2 male x 3/8 ptf elbow reducer GAM","KEEP","62013","62013","4.79","3.35","89","Tucker"
"1 2 MPT HIGH LIMIT SWITCH 176 DEG F","1/2"" MPT HIGH LIMIT SWITCH 176 DEG F","KEEP","3915","3915","60.99","45.29","36","Barrens"
"1 2 MPT HIGH LIMIT SWITCH 210 DEG F","1/2"" MPT HIGH LIMIT SWITCH 210 DEG F","KEEP","3665","3665","59.99","44.89","36","Barrens"
"1 2 MPT HIGH LIMIT SWITCH 230 DEG F","1/2"" MPT HIGH LIMIT SWITCH 230 DEG F","KEEP","1440","1440","58.99","43.68","36","Barrens"
"1 2 MPT HIGH LIMIT SWITCH 330 DEG F","1/2"" MPT HIGH LIMIT SWITCH 330 DEG F","KEEP","1441","1441","58.99","44.09","36","Barrens"
"1 2 MPT SS PLUG","1/2"" MPT ss plug","KEEP","24.0084","24.0084","8.00","4.00","84","MPWSR"
"1 2 MPT SS SOCKET","1/2"" MPT ss socket","KEEP","24.0066","24.0066","16.49","10.49","83","MPWSR"
"1 2 MPT X 1 2 HOSE BARB 1171","1/2 mpt x 1/2 Hose Barb 1171","KEEP","32017","32017","4.50","2.94","36","MPWSR"
"1 2 MPT X 1 4 BARB","1/2"" mpt x 1/4"" barb","KEEP","BHB050-025","BHB050-025","2.79","1.89","41","MPWSR"
"1 2 MPT X 3 4 HOSE BARB","1/2 Mpt x 3/4"" Hose Barb","KEEP","BHB050-075","BHB050-075","3.25","1.69","400","MPWSR"
"1 2 MPT X 3 8 HOSE BARB","1/2 Mpt x 3/8"" Hose Barb","KEEP","BHB050-038","BHB050-038","2.29","1.51","42","MPWSR"
"1 2 MPT X FGH SWIVEL","1/2 MPT X FGH Swivel","KEEP","63032","63032","16.47","11.53","215","Tucker"
"1 2 NPT BRASS MALE NOZZLE BODY TEEJET","1/2"" NPT Brass Male Nozzle Body Teejet","KEEP","CP1340","CP1340","10.11","9.12","38","MPWSR"
"1 2 NPT X 1 2 BARB","1/2 NPT x 1/2 Barb","KEEP","62035","62035","5.28","3.70","67","Tucker"
"1 2 NPT X 1 2 SOFTWASH HOSE CRIMP SOLID STAINLESS STEEL SS THY MP 08 08","1/2"" NPT x 1/2"" Softwash Hose Crimp Solid Stainless Steel SS-THY-MP-08-08","KEEP","AJU08-08MP-SS","AJU08-08MP-SS","30.00","11.68","73","MPWSR"
"1 2 NPT X 1 2 SOFTWASH HOSE CRIMP SWIVEL STAINLESS STEEL SS THY MPX 08 08","1/2"" NPT x 1/2"" Softwash Hose Crimp Swivel Stainless Steel SS-THY-MPX-08-08","KEEP","AJU08-08MPS-SS","AJU08-08MPS-SS","32.00","16.06","78","MPWSR"
"1 2 NPT X 5 8 SOFTWASH HOSE CRIMP SOLID STAINLESS STEEL SS THY MP 10 08","1/2"" NPT x 5/8"" Softwash Hose Crimp Solid Stainless Steel SS-THY-MP-10-08","KEEP","AJU10-08MP-SS","AJU10-08MP-SS","32.50","14.06","73","MPWSR"
"1 2 NPT X 5 8 SOFTWASH HOSE CRIMP SWIVEL STAINLESS STEEL SS THY MPX 10 08","1/2"" NPT x 5/8"" Softwash Hose Crimp Swivel Stainless Steel SS-THY-MPX-10-08","KEEP","AJU10-08MPS-SS","AJU10-08MPS-SS","34.50","19.34","78","MPWSR"
"1 2 ORINGS 25 PACK","1/2"" orings 25 pack","KEEP","39.0032","39.0032","13.10","8.50","33","MPWSR"
"1 2 PLUG FOR PTF","1/2 Plug for PTF","KEEP","62003","62003","2.73","1.91","65","Tucker"
"1 2 POLY PIPE CROSS","1/2"" Poly Pipe Cross","KEEP","BCR050","BCR050","23.50","17.61","34","MPWSR"
"1 2 POLY TEE","1/2"" Poly Tee","KEEP","BTEE050","BTEE050","5.50","3.78","13","MPWSR"
"1 2 PTF BULKHEAD","1/2 PTF Bulkhead","KEEP","62038","62038","18.94","13.26","65","Tucker"
"1 2 PTF TEE FITTING","1/2' PTF Tee Fitting","KEEP","62004","62004","10.93","7.65","83","Tucker"
"1 2 PVC TEE","1/2"" PVC Tee","KEEP","405-005","405-005","2.60","2.36","12","MPWSR"
"1 2 SIAMESE KIT W STAINLESS STEEL QCS","1/2"" Siamese Kit w/ Stainless Steel QCs","KEEP","SK-050","SK-050","199.00","148.51","340","MPWSR"
"1 2 SOLID STEM MPT REPLACES 2 PIECE PREV","1/2"" SOLID STEM MPT *REPLACES 2 PIECE PREV*","KEEP","2884","2884","8.99","5.62","43","Barrens"
"1 2 SS 45 DEGREE EL","1/2"" SS 45 Degree El","KEEP","62183","62183","8.80","6.13","289","MPWSR"
"1 2 SS MANIFOLD 18","1/2 "" SS Manifold 18""","KEEP","7037-0018","7037-0018","159.75","136.13","21","MPWSR"
"1 2 SS MANIFOLD FOR 12 TITAN REEL","1/2"" SS Manifold for 12"" Titan reel","KEEP","7037-0012","7037-0012","181.50","147.90","41","MPWSR"
"1 2 STEEL HEX COUPLER","1/2 Steel Hex Coupler","KEEP","MPWSR-1-2-STEEL-HEX-COUPLER","MPWSR-1-2-STEEL-HEX-COUPLER","6.00","4.23","35","MPWSR"
"1 2 STEEL HEX NIPPLE","1/2 Steel Hex Nipple","KEEP","54048","54048","4.20","2.94","58","MPWSR"
"1 2 SUPER SWIVEL","1/2"" Super Swivel","KEEP","8620A","8620A","57.95","46.45","17","MPWSR"
