"NameKey","ItemName","Action","KeptSku","SKU","Price","DefaultUnitCost","DescriptionLength","Vendor"
"304SS TEE 3 8FPT X 3 8FPT X 3 8FPT 150","304SS TEE 3/8FPT X 3/8FPT X 3/8FPT 150#","KEEP","5212","5212","12.99","9.51","39","Barrens"
"30530 KIT SEAL W S SPG","30530 KIT, SEAL W/S-SPG","KEEP","1519","1519","118.99","87.50","23","Barrens"
"30610 SEAL KIT 51 55 550","30610 SEAL KIT 51,55,550","KEEP","2696","2696","234.99","185.39","24","Barrens"
"30623 SEAL KIT 30 31 34 35 310 340 350","30623 SEAL KIT 30,31,34,35,310,340,350","KEEP","2697","2697","139.99","108.93","38","Barrens"
"30629 SEAL KIT 45","30629 SEAL KIT 45","KEEP","2698","2698","234.99","184.67","17","Barrens"
"30683 VALVE KIT 43HS 45 2 KITS PUMP","30683 VALVE KIT 43HS 45 (2 KITS/PUMP)","KEEP","2699","2699","134.99","106.77","37","Barrens"
"30686 VALVE KIT Q V 280 290 333 430","30686 VALVE KIT Q.V. 280,290,333,430","KEEP","3368","3368","121.99","93.78","36","Barrens"
"30687 KIT VALVE QV DV NBR W S VALVES","30687 KIT VALVE QV DV NBR, W/S-VALVES","KEEP","5616","5616","249.99","188.28","37","Barrens"
"30767 KIT VALVE 1 PUMP","30767 KIT, VALVE (1/PUMP)","KEEP","3988","3988","329.00","265.43","25","Barrens"
"30798 SEAL KIT 650","30798 SEAL KIT 650","KEEP","2700","2700","264.99","209.20","18","Barrens"
"30799 SEAL KIT 56 57 59 60","30799 SEAL KIT 56,57,59,60","KEEP","2701","2701","254.99","199.82","26","Barrens"
"30820 VALVE KIT 7FR 650 2 KITS PUMP","30820 VALVE KIT 7FR,650 (2 KITS/PUMP)","KEEP","2702","2702","139.99","108.21","37","Barrens"
"30821 VALVE KIT 310 340 350 2 KITS PUMP","30821 VALVE KIT 310,340,350 (2 KITS/PUMP)","KEEP","2703","2703","112.99","88.01","41","Barrens"
"30860 PISTON KIT FOR 290 PUMP","30860 PISTON KIT FOR 290 PUMP","KEEP","3365","3365","194.99","154.38","29","Barrens"
"30913 SEAL KIT 1050","30913 SEAL KIT 1050","KEEP","2705","2705","299.99","235.89","19","Barrens"
"30914 SEAL KIT 230 240 270","30914 SEAL KIT 230,240,270","KEEP","2706","2706","149.99","114.70","26","Barrens"
"30915 VALVE KIT 230 240 270 1 KIT PUMP","30915 VALVE KIT 230,240,270 (1 KIT/PUMP)","KEEP","2707","2707","234.99","186.85","40","Barrens"
"30IN CARBON FILTER INSERT","30in Carbon Filter Insert","KEEP","20066-C","20066-C","116.17","81.32","400","Tucker"
"30IN FILTER INSERT EMPTY","30in Filter Insert (EMPTY)","KEEP","20066","20066","57.87","40.51","339","Tucker"
"30IN MAX FLOW CUSTOM RO MEMBRANE","30in Max-Flow Custom RO Membrane","KEEP","20066-RO","20066-RO","714.08","499.86","400","Tucker"
"31 3 ARM BAR FOR MOSMATIC 1 8","31 3 arm bar for mosmatic 1/8","KEEP","82.947","82.947","231.00","184.79","42","MPWSR"
"310 PUMP 4GPM 2200PSI","310 PUMP 4GPM 2200PSI","KEEP","2798","2798","969.00","832.86","21","Barrens"
"31040 SEAL KIT 3531 3535 3537","31040 SEAL KIT 3531,3535,3537","KEEP","2711","2711","579.00","468.19","29","Barrens"
"31088 KIT REPAIR","31088 KIT, REPAIR","KEEP","4004","4004","70.99","52.45","17","Barrens"
"3110 GP HI TEMP SWIVEL KIT","3110- GP  Hi-Temp Swivel Kit","KEEP","3110","3110","13.50","10.77","21",""
"31156 TUNE UP KIT E M","31156 TUNE UP KIT E&M","KEEP","1435","1435","85.99","63.29","21","Barrens"
"31204 ZA0 003 HONDA UT2 STARTER SOLENOID CONTACTOR ASSEMBLY","31204-ZA0-003 Honda UT2 starter solenoid Contactor Assembly","KEEP","31204-ZA0-003","31204-ZA0-003","125.06","89.99","59","MPWSR"
"31280 KIT SEAL","31280 KIT, SEAL","KEEP","3376","3376","409.00","315.25","15","Barrens"
"31556 KIT UNLP NBR B 67DX39G1I","31556 KIT UNLP NBR B 67DX39G1I","KEEP","3406","3406","73.99","54.06","30","Barrens"
"316 3 8 MNPT X 1 2 FNPT PIPE EXPANDER","316 3/8 MNPT X 1/2 FNPT PIPE EXPANDER","KEEP","7287","7287","19.99","14.43","37","Barrens"
"316 3 8 MNPT X 1 2 FNPT SS ADAPTER","316 3/8 MNPT X 1/2 FNPT SS ADAPTER","KEEP","7274","7274","18.99","14.43","34","Barrens"
"31647 VALVE KIT","31647 VALVE KIT","KEEP","3415","3415","169.99","134.18","15","Barrens"
"31684 KIT SEAL","31684 KIT, SEAL","KEEP","4018","4018","122.99","90.90","15","Barrens"
"31762 005 FUEL GUN ASSY FOR EHASR","31762-005 FUEL GUN ASSY FOR EHASR","KEEP","4136","4136","149.99","114.37","33","Barrens"
"31983 KIT SEAL","31983 KIT, SEAL","KEEP","4023","4023","219.99","165.21","15","Barrens"
"32 552 MOSMATIC DGV LIVE SWIVEL 1 4MPT X1 4FPT 40","32.552 MOSMATIC DGV LIVE SWIVEL 1/4MPT X1/4FPT, 40","KEEP","6935","6935","55.99","41.29","50","Barrens"
"32 564 MOSMATIC DGV LIVE SWIVEL 3 8M X 3 8F","32.564 MOSMATIC DGV LIVE SWIVEL 3/8M x 3/8f","KEEP","32.564","32.564","47.00","37.10","365","MPWSR"
"32 564B MOSMATIC DGV LIVE SWIVEL 3 8M X 3 8F 25CT BOX","32.564B MOSMATIC DGV LIVE SWIVEL 3/8M x 3/8f (25ct Box)","KEEP","32.564B","32.564B","1079.99","879.99","55","MPWSR"
"32 852B MOSMATIC 3 8 HIGH PRESSURE HIGH FLOW SWIVEL 25CT BOX","32.852B Mosmatic 3/8 High pressure high flow swivel (25ct Box)","KEEP","32.852B","32.852B","1329.99","1099.99","62","MPWSR"
"32 924 MOSMATIC DGV LIVE SWIVEL 3 8MPT X 1 2FPT 4","32.924 MOSMATIC DGV LIVE SWIVEL 3/8MPT X 1/2FPT, 4","KEEP","6319","6319","69.99","52.57","50","Barrens"
"32 ALUMINUM BARRACUDA DECK","32"" Aluminum Barracuda deck","KEEP","4920AM32DECK","4920AM32DECK","787.50","551.25","27","MPWSR"
"32 ALUMINUM SURFACE CLEANER WITH MOSMATIC SWIVEL STEEL BAR AND SS HANDLE","32"" Aluminum Surface Cleaner with Mosmatic Swivel, Steel Bar and SS Handle","KEEP","BARRACUDA","BARRACUDA","1260.00","1007.99","74","MPWSR"
"3200 0007 00 DRAIN PLUG","3200.0007.00 DRAIN PLUG","KEEP","3042","3042","21.99","16.42","23","Barrens"
"3200 0051 00 DIP STICK ALL MODELS","3200.0051.00 DIP STICK ALL MODELS","KEEP","3047","3047","5.99","3.19","33","Barrens"
"3200 0071 00 OIL PLUG 3 8 AXD","3200.0071.00 OIL PLUG 3/8 AXD","KEEP","1651","1651","5.99","3.80","29","Barrens"
"3200 0086 00 OIL CAP BXD PUMPS","3200.0086.00 OIL CAP BXD PUMPS","KEEP","6033","6033","8.99","5.27","30","Barrens"
"3201 0026 00 3201 0010 00 OIL INDICATOR","3201.0026.00/3201.0010.00 OIL INDICATOR","KEEP","3407","3407","5.99","3.41","39","Barrens"
"3201 0027 00 OIL LEVEL SIGHT GLASS","3201.0027.00 OIL LEVEL SIGHT GLASS","KEEP","2768","2768","5.99","3.33","34","Barrens"
"3202 0311 00 VALVE CAP","3202.0311.00 VALVE CAP","KEEP","3516","3516","11.99","8.37","22","Barrens"
"32094 SPRING COIL UNL 2000PSI SILVER","32094 SPRING, COIL, UNL, 2000PSI, SILVER","KEEP","5614","5614","10.99","7.05","40","Barrens"
"32097 O RING KIT FOR 7500 UNLOADER","32097 O-RING KIT FOR 7500 UNLOADER","KEEP","4482","4482","19.99","14.11","34","Barrens"
"32098 O RING KIT FOR 7600 UNLOADER","32098 O-RING KIT FOR 7600 UNLOADER","KEEP","4483","4483","19.99","14.11","34","Barrens"
"325 GAL TANK WITH BANDS ASSEMBLY","325 Gallon Tank with Bands Assembly","KEEP","TNK325-BS","TNK325-BS","1545.54","1030.21","290","MPWSR"
"325 POLY LEG TANK","325 Poly Leg Tank","KEEP","TNK325","TNK325","1145.54","696.43","290","MPWSR"
"33 GPM 2 HP GOULDS BOOSTER PUMP","33 GPM 2 HP Goulds Booster Pump","KEEP","33GBS20","33GBS20","1469.80","1028.87","31","MPWSR"
"33053 SEAL KIT","33053 SEAL KIT","KEEP","3638","3638","80.99","62.25","14","Barrens"
"33057 VALVE KIT","33057 VALVE KIT","KEEP","5720","5720","159.99","124.08","15","Barrens"
"33062 VALVE KIT 3CP SERIES 2 KITS PER PUMP","33062 VALVE KIT 3CP SERIES (2-KITS PER PUMP)","KEEP","4648","4648","76.99","59.52","44","Barrens"
"33394 SPRING PRESSURE UNLP STZP","33394 SPRING, PRESSURE UNLP STZP","KEEP","4028","4028","13.99","9.69","32","Barrens"
"33628 KIT SEAL","33628 KIT, SEAL","KEEP","5967","5967","154.99","115.43","15","Barrens"
"33629 KIT SEAL NBR","33629 KIT, SEAL, NBR","KEEP","5601","5601","164.99","124.08","20","Barrens"
"33630 KIT SEAL NBR","33630 KIT, SEAL, NBR","KEEP","5611","5611","264.99","201.27","20","Barrens"
"33799 KIT SEAL NBR W S SPRING 70","33799 KIT, SEAL, NBR, W/S-SPRING 70","KEEP","5411","5411","259.99","196.13","35","Barrens"
"33820 VALVE KIT 56 57 59 60 NEED 2","33820 VALVE KIT 56,57,59,60 (NEED 2)","KEEP","2822","2822","154.99","120.47","36","Barrens"
"33822 KIT VALVE NEED 2","33822 KIT VALVE (NEED 2)","KEEP","5968","5968","249.99","187.34","24","Barrens"
"33916 SEAL KIT 1050 1051 1057","33916 SEAL KIT 1050, 1051, 1057","KEEP","2786","2786","284.99","221.46","31","Barrens"
"33953 KIT SEAL HOT KIT","33953 KIT, SEAL HOT KIT","KEEP","5969","5969","244.99","183.96","23","Barrens"
"33983 KIT SEAL","33983 KIT, SEAL","KEEP","5970","5970","108.99","80.08","15","Barrens"
"340 5PFR PUMP 4 0 1800 1725RPM","340 5PFR PUMP 4.0/1800, 1725RPM","KEEP","4032","4032","969.00","832.86","31","Barrens"
"34052 VALVE KIT 2SF 1 KIT PUMP","34052 VALVE KIT 2SF (1 KIT/PUMP)","KEEP","2713","2713","95.99","74.31","32","Barrens"
"34053 SEAL KIT 2SF","34053 SEAL KIT 2SF","KEEP","2714","2714","139.99","108.21","18","Barrens"
"34054 SEAL KIT W 45188 SEALS 4SF","34054 SEAL KIT W/45188 SEALS/4SF","KEEP","2715","2715","214.99","166.64","32","Barrens"
"34055 VALVE KIT 4SF 1 KIT PUMP","34055 VALVE KIT 4SF (1 KIT/PUMP)","KEEP","2716","2716","159.99","126.97","32","Barrens"
"34056 VALVE KIT","34056 VALVE KIT","KEEP","5158","5158","121.99","93.41","15","Barrens"
"34062 SEAL KIT 5DX SERIES","34062 SEAL KIT 5DX SERIES","KEEP","2232","2232","128.99","99.12","25","Barrens"
"34063 KIT SLEEVE SEAL NBR 4SF","34063 KIT SLEEVE & SEAL NBR 4SF","KEEP","1247","1247","319.99","241.23","31","Barrens"
"34260 KIT VALVE NBR 5DX 6DX NEED 2","34260 KIT VALVE NBR 5DX 6DX (NEED 2)","KEEP","1530","1530","89.99","66.17","36","Barrens"
"34262 CAT PUMP SEAL KIT 66DX","34262 Cat Pump Seal Kit 66DX","KEEP","MPWSR-34262-CAT-PUMP-SEAL-KIT-66DX","MPWSR-34262-CAT-PUMP-SEAL-KIT-66DX","126.00","98.99","28","MPWSR"
"34262 KIT SEAL NBR W S SPRING 6DX","34262 KIT, SEAL, NBR, W/S-SPRING, 6DX","KEEP","1531","1531","127.99","94.50","37","Barrens"
"34668 INLET VALVE KIT 2SF","34668 INLET VALVE KIT 2SF","KEEP","2721","2721","87.99","67.10","25","Barrens"
"34770 KIT INLET VALVE W S VALVES","34770 KIT, INLET VALVE, W/S-VALVES","KEEP","5598","5598","91.99","67.81","34","Barrens"
"34920 VALVE KIT 10 GPM 1050 2 KITS PUMP","34920 VALVE KIT 10+GPM 1050 (2 KITS/PUMP)","KEEP","2722","2722","144.99","113.98","41","Barrens"
"35 GAL LEG TANK","35 Gal Leg Tank","KEEP","T3004A","T3004A","157.00","125.58","141","MPWSR"
"35 GFCI POWER CORD","35' GFCI Power Cord","KEEP","25080-116","25080-116","84.00","67.20","82","MPWSR"
"35 SUTTNER ST 2000 TRIGGER GUN 10 4GPM 5000","(35) SUTTNER ST-2000 TRIGGER GUN 10.4GPM 5000","KEEP","1477","1477","40.99","30.31","45","Barrens"
"350 5PFR CERAMIC PLUNGER 5 0 1500 1725RPM","350 5PFR CERAMIC PLUNGER, 5.0/1500, 1725RPM","KEEP","4049","4049","1009.00","832.87","43","Barrens"
"36 906 CARBIDE SEAL KIT ALL DY SWIVELS","36.906 CARBIDE SEAL KIT (ALL DY SWIVELS)","KEEP","5903","5903","95.99","73.18","40","Barrens"
"36 ALUM WAND PIPE","36"" ALUM. WAND PIPE","KEEP","6463","6463","16.99","12.07","19","Barrens"
"36 MAXIMA SURFACE CLEANER W 2 BAR","36"" Maxima Surface Cleaner w/ 2-bar","KEEP","MAX3600-2","MAX3600-2","1399.99","1299.99","400","MPWSR"
"36 MAXIMA SURFACE CLEANER W 4 BAR","36"" Maxima Surface Cleaner w/ 4-bar","KEEP","MAX3600-4","MAX3600-4","1449.99","1349.99","400","MPWSR"
"36 SURFACE CLEANER BY SIDEWALK SOLUTIONS SHIPS FROM MFG","36"" Surface cleaner by Sidewalk Solutions (Ships from Mfg)","KEEP","SOLUTION36","SOLUTION36","2299.00","1999.99","400","MPWSR"
"3616 31653 GASKET UNIVERSAL","3616/31653 GASKET, UNIVERSAL","KEEP","2614","2614","5.99","3.57","28","Barrens"
"36256551 CHEM REGULATION KNOB","36256551 CHEM REGULATION KNOB","KEEP","4197","4197","6.99","4.21","29","Barrens"
"36311670 K7 1 3 8 BYPASS NIPPLE ORIFICE","36311670 K7.1 3/8 BYPASS NIPPLE ORIFICE","KEEP","3779","3779","22.99","17.02","39","Barrens"
"36311770 K7 0 3 8 BYPASS NIPPLE ORIFICE","36311770 K7.0 3/8 BYPASS NIPPLE ORIFICE","KEEP","3266","3266","22.99","17.02","39","Barrens"
"36311870 K7 2 3 8 BYPASS NIPPLE ORIFICE","36311870 K7.2 3/8 BYPASS NIPPLE ORIFICE","KEEP","4262","4262","22.99","17.02","39","Barrens"
"36MM POLY CHAIN BELT","36mm Poly chain belt","KEEP","9274-2080","9274-2080","93.75","74.97","20","MPWSR"
"3754734 SHAFT SEAL A2VA 7116","3754734 SHAFT SEAL A2VA-7116","KEEP","2052","2052","15.99","11.37","28","Barrens"
"3773151 DIAPHRAM A2VA 7116","3773151 DIAPHRAM A2VA-7116","KEEP","2152","2152","2.99","0.88","26","Barrens"
"38 ST 54 DUAL LANCE 4500 PSI W SOAP NOZZLE PROTECTORS","38"" ST-54 Dual Lance 4500 PSI w/Soap Nozzle & Protectors","KEEP","200054500","200054500","69.99","49.98","56","MPWSR"
"390080 O RING MINIMATIC","390080 O-RING MINIMATIC","KEEP","3668","3668","2.99","0.33","23","Barrens"
"393957 AIR CLEANER 7 16 HP HORIZONTAL","393957 AIR CLEANER 7-16 HP HORIZONTAL","KEEP","1503","1503","25.99","16.54","37","Barrens"
"394280 O RING","394280 O-RING","KEEP","3896","3896","2.99","0.43","13","Barrens"
"3CP1120 3 PUMP 4 2GPM 2200PSI 1725RPM 16 5MM SHAFT","3CP1120.3 PUMP 4.2GPM 2200PSI 1725RPM 16.5mm SHAFT","KEEP","2948","2948","709.00","609.57","50","Barrens"
"3CP1120 3CP CERAMIC PLUNGER 4 2 2200 1725 RPM","3CP1120 3CP CERAMIC PLUNGER, 4.2/2200 1725 RPM","KEEP","4050","4050","759.00","622.89","46","Barrens"
"3M 08003 PAD WHITE 10 L","3M 08003 Pad,White,10""L","KEEP","C689300","C689300","3.00","","0",""
"3M FULL FACE SHIELD","3M Full Face Shield","KEEP","487279M","487279M","7.50","5.00","19",""
"3M PRO GRADE EARMUFF","3M Pro-Grade Earmuff","KEEP","7895706","7895706","18.00","6.25","20",""
"3V SECTION COGGED BELT","3V Section Cogged Belt","KEEP","3VX400","3VX400","15.20","13.70","22","MPWSR"
"3VX335 V BELT SINGLE","3VX335 v belt Single","KEEP","3VX335","3VX335","14.49","9.59","20","MPWSR"
"3VX355 V BELT SINGLE","3VX355 V belt single","KEEP","3VX355","3VX355","15.23","9.87","20","MPWSR"
"3VX375 WEDGE COGGED BELTS MAD MAX 390","3VX375 WEDGE COGGED BELTS (MAD MAX 390)","KEEP","2495","2495","15.99","10.74","39","Barrens"
"3VX425 V BELT SINGLE","3VX425 v belt Single","KEEP","3VX425","3VX425","14.70","10.28","20","MPWSR"
"3VX450 V BELT SINGLE","3VX450 v belt Single","KEEP","3VX450","3VX450","14.70","10.49","20","MPWSR"
"4 000 PSI 4 0 GPM HOT WATER PRESSURE WASHER WITH HONDA GX390 ENGINE AND COMET TRIPLEX PUMP","4,000 PSI - 4.0 GPM Hot Water Pressure Washer with Honda GX390 Engine and Comet Triplex Pump","KEEP","HW4013HC","HW4013HC","4899.99","4299.99","400","MPWSR"
"4 3B690SK 6 9 OD 4 GROOVE SHEAVE BARENS","4/3B690SK 6.9"" OD 4 GROOVE SHEAVE BARENS","KEEP","2873","2873","88.99","67.62","40","Barrens"
"4 3V3 35 ENGINE PULLEY 1450 RPM SH","4-3v3.35 engine pulley 1450 rpm SH","KEEP","3514","3514","41.90","32.25","43","MPWSR"
"4 3V3 35SH 3 35 OD 4 GROOVE SHEAVE","4/3V3.35SH 3.35"" OD 4 GROOVE SHEAVE","KEEP","EB4-3V3.35","EB4-3V3.35","41.90","33.54","35","MPWSR"
"4 3V3 65SH 3 65 OD 4 GROOVE SHEAVE","4/3V3.65SH 3.65"" OD 4 GROOVE SHEAVE","KEEP","2656","2656","42.80","34.23","35","MPWSR"
"4 3V335SH 3 35 OD 4 GROOVE SHEAVE BARENS","4/3V335SH 3.35"" OD 4 GROOVE SHEAVE BARENS","KEEP","2838","2838","51.99","38.26","41","Barrens"
"4 3V335SH V BELT PULLEY CAST IRON","4-3V335SH / V-Belt Pulley, Cast Iron","KEEP","4-3V335SH","4-3V335SH","41.80","30.80","36","MPWSR"
"4 3V6 90SK 6 9 OD 4 GROOVE SHEAVE","4/3V6.90SK 6.9"" OD 4 GROOVE SHEAVE","KEEP","3468","3468","67.30","53.25","34","MPWSR"
"4 3V690SK V BELT PULLEY 4 GROOVE CAST IRON","4-3V690SK / V-Belt Pulley / 4-Groove /Cast Iron","KEEP","4-3V690SK","4-3V690SK","69.98","54.43","47","MPWSR"
"4 3VX450 BANDED 4 GROOVE BELT BANDIT","4/3VX450 BANDED 4 GROOVE BELT BANDIT","KEEP","4/3VX450","4/3VX450","95.00","71.21","57","MPWSR"
"4 5 OZ AR64545 OIL FOR AXIAL PUMPS","4.5 OZ. AR64545 OIL FOR AXIAL PUMPS","KEEP","6601","6601","10.99","7.93","35","Barrens"
"4 ARM BAR FOR PSI SS SURFACE CLEANER","4 arm Bar for PSI SS Surface Cleaner","KEEP","82.742","82.742","161.70","129.36","36","MPWSR"
"4 CASTER FOR BIG GUY","4"" Caster for Big Guy","KEEP","WW3115","WW3115","30.80","26.38","63","MPWSR"
"4 FT ALUMINUM EXTENSION WAND ASSEMBLY WITH QUICK CONNECTS","4 ft Aluminum Extension Wand Assembly With Quick Connects","KEEP","AWA048","AWA048","28.77","20.32","202","MPWSR"
"4 SCALTROL RSC 100 REPLACEMENT CARTRIDGE","(4)SCALTROL RSC-100 REPLACEMENT CARTRIDGE","KEEP","5043","5043","219.99","168.32","41","Barrens"
"4 SCALTROL SC 100 WATER TREATMENT SYSTEM","(4)SCALTROL SC-100 WATER TREATMENT SYSTEM","KEEP","5041","5041","319.00","252.49","41","Barrens"
"4 SECTION FOR 50HMW CLAMP","#4 Section for 50HMw/ clamp","KEEP","T-50-HM-4-WC","T-50-HM-4-WC","241.82","169.28","134","Tucker"
"4 SECTION FOR BRAVOW CLAMP","#4 Section for BRAVOw/ clamp","KEEP","T-22-HY-4-WC","T-22-HY-4-WC","94.47","66.13","129","Tucker"
"4 SECTION FOR ECO 30W CLAMP","#4 Section for ECO 30w/ Clamp","KEEP","T-30-CF-4-WC","T-30-CF-4-WC","163.83","114.68","126","Tucker"
"4 SECTION FOR ECO 40W CLAMP","#4 Section for ECO 40w/ Clamp","KEEP","T-40-CF-4-WC","T-40-CF-4-WC","163.83","114.68","123","Tucker"
"4 SECTION FOR SOLAR BOOSTW CLAMP","#4 Section for SOLAR BOOSTw/ Clamp","KEEP","T-27-CF-4-WC","T-27-CF-4-WC","124.47","87.13","135","Tucker"
"4 STAGE 4060 KIT FOR SOLAR PANEL CLEANING","4 Stage 4060 Kit for Solar Panel Cleaning","KEEP","T-SOLAR-4060","T-SOLAR-4060","6043.30","4230.31","400","Tucker"
"4 STAGE CART UPGRADE KITS","4 Stage Cart Upgrade Kits","KEEP","T-CART-UGK","T-CART-UGK","377.91","264.54","400","Tucker"
"4 STAGE RIVAL KIT FOR SOLAR PANEL CLEANING","4 Stage Rival Kit for Solar Panel Cleaning","KEEP","T-SOLAR-RIVAL","T-SOLAR-RIVAL","3505.67","2453.97","400","Tucker"
"4 TP ASSY W FRM DECAL PLATE COMPLETE IN A BOX NO ENGINE","4""TP ASSY, W/FRM & DECAL PLATE COMPLETE IN A BOX, NO ENGINE","KEEP","85.150.424","85.150.424","1799.00","1536.00","59","BE"
"4 X 10IN DI CARTRIDGE BLUE WHITE","4 x 10in DI Cartridge Blue/White","KEEP","20027","20027","103.72","72.60","348","Tucker"
"4 X 20IN DI CARTRIDGE FULL BLUE WHITE","4 x 20in DI Cartridge Full Blue/White","KEEP","TUCKER-4-X-20IN-DI-CARTRIDGE-FULL-BLUE","TUCKER-4-X-20IN-DI-CARTRIDGE-FULL-BLUE","106.96","74.88","235","Tucker"
"40 46 ALUM WAND PIPE","(40)46"" ALUM. WAND PIPE","KEEP","6464","6464","19.99","13.96","23","Barrens"
"40 BALL VALVE 3050PSI 1 2 FPT NICKEL PLATED","(40)BALL VALVE 3050PSI 1/2 FPT NICKEL PLATED","KEEP","6293","6293","67.99","50.95","44","Barrens"
"40 ECO BARE POLE NO TIPS INCLUDED","40' ECO BARE POLE (no tips included)","KEEP","ECO-40-BARE","ECO-40-BARE","819.95","573.97","400","Tucker"
"40 GAL POLY TANK","40 Gallon Poly Tank","KEEP","920040","920040","279.00","135.00","100","MPWSR"
"40 HPC SMOOTH 4000 GRAY 3 8 X100 250 DEG F INTER","(40)HPC SMOOTH 4000 GRAY 3/8""x100' 250 DEG F INTER","KEEP","6964","6964","169.99","125.98","400","Barrens"
"40 HPC SMOOTH 6000 GRAY 3 8 X100 250 DEG F INTER","(40)HPC SMOOTH 6000 GRAY 3/8""x100' 250 DEG F INTER","KEEP","6963","6963","209.99","153.42","50","Barrens"
"40 MTM DUAL LANCE W TRIGGER 1023140100","40"" MTM DUAL LANCE W/TRIGGER 1023140100","KEEP","3707","3707","104.99","79.14","39","Barrens"
"40 REPL AIR FILTER GX340 GX390","(40)REPL. AIR FILTER GX340 GX390","KEEP","3782","3782","16.99","12.10","32","Barrens"
"40 STAINLESS STEEL HOUSING","40"" Stainless Steel Housing","KEEP","20054-40-SS","20054-40-SS","390.29","273.20","226","Tucker"
"40 UR25 PA BLUE ROTATING NOZZLE 3650PSI 3 5","(40)UR25 PA BLUE ROTATING NOZZLE 3650PSI 3.5","KEEP","6724","6724","54.99","42.47","44","Barrens"
"40 UR25 PA BLUE ROTATING NOZZLE 3650PSI 4 0","(40)UR25 PA BLUE ROTATING NOZZLE 3650PSI 4.0","KEEP","6725","6725","54.99","42.47","44","Barrens"
"40 UR25 PA BLUE ROTATING NOZZLE 3650PSI 4 5","(40)UR25 PA BLUE ROTATING NOZZLE 3650PSI 4.5","KEEP","6722","6722","54.99","42.47","44","Barrens"
"40 UR25 PA BLUE ROTATING NOZZLE 3650PSI 5 5","(40)UR25 PA BLUE ROTATING NOZZLE 3650PSI 5.5","KEEP","6723","6723","54.99","42.47","44","Barrens"
"40 UR32 PA RED ROTATING NOZZLE 5100PSI 4 0","(40)UR32 PA RED ROTATING NOZZLE 5100PSI 4.0","KEEP","5671","5671","71.99","56.12","43","Barrens"
"40 UR32 PA RED ROTATING NOZZLE 5100PSI 4 5","(40)UR32 PA RED ROTATING NOZZLE 5100PSI 4.5","KEEP","5672","5672","71.99","56.12","43","Barrens"
"40 UR32 PA RED ROTATING NOZZLE 5100PSI 5 0","(40)UR32 PA RED ROTATING NOZZLE 5100PSI 5.0","KEEP","5673","5673","71.99","56.12","43","Barrens"
"400 QC 6540 BLACK SOAPER NOZZLE","(400)QC 6540 BLACK SOAPER NOZZLE","KEEP","6641","6641","4.99","2.93","32","Barrens"
"400 QC PLUG 1 4 FNPT STEEL PLATED","(400)QC PLUG 1/4"" FNPT STEEL PLATED","KEEP","2192","2192","3.99","1.59","35","Barrens"
"400 QC PLUG 1 4 MNPT STEEL PLATED","(400)QC PLUG 1/4"" MNPT STEEL PLATED","KEEP","1993","1993","3.99","1.59","35","Barrens"
"400 QC SOCKET 1 4 MNPT BRASS","(400)QC SOCKET 1/4"" MNPT BRASS","KEEP","5655","5655","8.99","5.43","30","Barrens"
"400 WEIGHTED CHEMICAL STRAINER PLASTIC W O CHECK","(400)WEIGHTED CHEMICAL STRAINER PLASTIC W/O CHECK","KEEP","5558","5558","3.99","1.37","400","Barrens"
"4000 GRAY 3 8 X100 WRAPPED","4000 GRAY 3/8""x100' WRAPPED","KEEP","7218","7218","214.99","163.95","27","Barrens"
"4000 GRAY 3 8 X100 WRAPPED W QC FITTING","4000 GRAY 3/8""x100' WRAPPED W/QC FITTING","KEEP","6975","6975","164.99","132.26","40","Barrens"
"4000 GRAY 3 8 X50 WRAPPED","4000 GRAY 3/8""x50' WRAPPED","KEEP","7217","7217","76.99","57.92","26","Barrens"
"4000 GRAY 3 8 X50 WRAPPED W QC FITTING","4000 GRAY 3/8""x50' WRAPPED W/QC FITTING","KEEP","6960","6960","88.99","69.78","39","Barrens"
"4000 PSI 3 8 X10 WHIP LINE M MS","4000 PSI 3/8""x10' WHIP LINE M/MS","KEEP","6497","6497","43.99","32.73","32","Barrens"
"4000 PSI 3 8 X100 BLACK NEPTUNE HOSE","4000 PSI 3/8""x100' BLACK NEPTUNE HOSE","KEEP","6869","6869","254.99","195.68","37","Barrens"
"4000 PSI 3 8 X100 BLUE NEPTUNE HOSE","4000 PSI 3/8""x100' BLUE NEPTUNE HOSE","KEEP","6896","6896","264.99","206.25","36","Barrens"
"4000 PSI 3 8 X100 GRAY NEPTUNE HOSE","4000 PSI 3/8""x100' GRAY NEPTUNE HOSE","KEEP","5873","5873","264.99","206.26","36","Barrens"
"4000 PSI 3 8 X15 BLACK NEPTUNE HOSE","4000 PSI 3/8""x15' BLACK NEPTUNE HOSE","KEEP","6450","6450","54.99","41.23","36","Barrens"
"4000 PSI 3 8 X150 BLACK NEPTUNE HOSE","4000 PSI 3/8""x150' BLACK NEPTUNE HOSE","KEEP","6870","6870","369.00","287.36","37","Barrens"
"4000 PSI 3 8 X150 BLUE NEPTUNE HOSE","4000 PSI 3/8""x150' BLUE NEPTUNE HOSE","KEEP","6898","6898","389.00","304.29","36","Barrens"
"4000 PSI 3 8 X150 GRAY NEPTUNE HOSE","4000 PSI 3/8""x150' GRAY NEPTUNE HOSE","KEEP","6783","6783","389.00","303.27","36","Barrens"
