Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
EZRPW3Q66UQDTXZAFRLQM7BE,#2 Section for ECO 40w/ Clamp,#2 Section for Tucker®-40,Regular,,T-40-CF-2-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,137.15,,Y,,,,N,,,96.01,Tucker,T-40-CF-2-WC,N,0,,N,0,,Y,0,,N,0,137.15
CN6DTHFHMGLPMTHI73LWLX5I,#2 Section for Juniorw/ clamp,#2 Section for Juniorw/clamp,Regular,,T-15-HY-2-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,,,,,,,,81.24,,Y,,,,N,,,56.87,Tucker,T-15-HY-2-WC,N,0,,N,0,,Y,0,,N,0,81.24
CE3PP4SNG7SFBQKQR2BZZAO4,#2 Section for SIDEKICKw/ Clamp,#2 Section for SIDEKICKw/Clamp,Regular,,T-12-FG-2-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,60.24,,Y,,,,N,,,42.17,Tucker,T-12-FG-2-WC,N,0,,N,0,,Y,0,,N,0,60.24
KCO6MMB5GVE7CWYU3CNP7CDV,#2 Section for SOLAR BOOSTw/ Clamp,#2 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-2-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,111.24,,Y,,,,N,,,77.87,Tucker,T-27-CF-2-WC,N,0,,N,0,,Y,0,,N,0,111.24
FDOGDEZOLUF2WR5NZL4U4DKD,#3 Base Section for Juniorw/ clamp,#3 Base Section for Juniorw/clamp,Regular,,T-15-FG-3-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,74.49,,Y,,,,N,,,52.14,Tucker,T-15-FG-3-WC,N,0,,N,0,,Y,0,,N,0,74.49
I7TJAKRAMAPE4TI27GEWZ67Z,#3 Base Section for SIDEKICKw/ Clamp,#3 Base Section for SIDEKICKw/Clamp,Regular,,T-12-FG-3-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,71.49,,Y,,,,N,,,50.04,Tucker,T-12-FG-3-WC,N,0,,N,0,,Y,0,,N,0,71.49
Z3GGSCCKD4S5KGPMSP7A5WRU,#3 Section for 50HMw/ clamp,#3 Section for 50HMw/clamp,Regular,,T-50-HM-3-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,230.57,,Y,,,,N,,,161.40,Tucker,T-50-HM-3-WC,N,0,,N,0,,Y,0,,N,0,230.57
77BCULYKHA4LKCNY6EYE5QKK,#3 Section for BRAVOw/ clamp,#3 Section for BRAVOw/clamp,Regular,,T-22-HY-3-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,88.47,,Y,,,,N,,,61.93,Tucker,T-22-HY-3-WC,N,0,,N,0,,Y,0,,N,0,88.47
3FNK5HJGZ6BJ33GZIGH3PGPV,#3 Section for ECO 30w/ Clamp,#3 Section for Tucker®-30,Regular,,T-30-CF-3-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,147.86,,Y,,,,N,,,103.50,Tucker,T-30-CF-3-WC,N,0,,N,0,,Y,0,,N,0,147.86
SPXC5ZN7EVX42TKDYQ757V34,#3 Section for ECO 40w/ Clamp,#3 Section for Tucker®-40,Regular,,T-40-CF-3-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,147.86,,Y,,,,N,,,103.50,Tucker,T-40-CF-3-WC,N,0,,N,0,,Y,0,,N,0,147.86
JOLWFZZFBUMQAXQW6R2FTZJA,#3 Section for SOLAR BOOSTw/ Clamp,#3 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-3-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,121.68,,Y,,,,N,,,85.18,Tucker,T-27-CF-3-WC,N,0,,N,0,,Y,0,,N,0,121.68
OXK6HXTBPK2WBDIGUC5SY3ZQ,#4 Section for 50HMw/ clamp,#4 Section for 50HMw/clamp,Regular,,T-50-HM-4-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,241.82,,Y,,,,N,,,169.28,Tucker,T-50-HM-4-WC,N,0,,N,0,,Y,0,,N,0,241.82
TA3ZWIYFCGLIJJVODPHUOPMI,#4 Section for BRAVOw/ clamp,#4 Section for BRAVOw/clamp,Regular,,T-22-HY-4-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,94.47,,Y,,,,N,,,66.13,Tucker,T-22-HY-4-WC,N,0,,N,0,,Y,0,,N,0,94.47
XYKPEMG7OIVIFPDAVJ5ONHFM,#4 Section for ECO 30w/ Clamp,#4 Section for Tucker®-30,Regular,,T-30-CF-4-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,163.83,,Y,,,,N,,,114.68,Tucker,T-30-CF-4-WC,N,0,,N,0,,Y,0,,N,0,163.83
CU4ZK5Q7XMSKGECTZNVKRPAV,#4 Section for ECO 40w/ Clamp,#4 Section for Tucker®-40,Regular,,T-40-CF-4-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,163.83,,Y,,,,N,,,114.68,Tucker,T-40-CF-4-WC,N,0,,N,0,,Y,0,,N,0,163.83
MXZFAPRHTTNHULWNJVAXCSLX,#4 Section for SOLAR BOOSTw/ Clamp,#4 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-4-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,124.47,,Y,,,,N,,,87.13,Tucker,T-27-CF-4-WC,N,0,,N,0,,Y,0,,N,0,124.47
LWAE4OAKEG63ARNKJT3E4PUO,#5 Base Section for BRAVOw/ clamp,#5 Base Section for BRAVOw/clamp,Regular,,T-22-FG-5-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,83.88,,Y,,,,N,,,58.72,Tucker,T-22-FG-5-WC,N,0,,N,0,,Y,0,,N,0,83.88
OEUYEFFWNJXS7ANPZ36725YQ,#5 Base Section for ECO 30w/ Clamp,#5 Section for Tucker®-30,Regular,,T-30-FG-5-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,101.73,,Y,,,,N,,,71.21,Tucker,T-30-FG-5-WC,N,0,,N,0,,Y,0,,N,0,101.73
BKBJCGWDVBLZLCZCOZRVCAET,#5 Section for 50HMw/ clamp,#5 Section for 50HMw/clamp,Regular,,T-50-HM-5-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,258.70,,Y,,,,N,,,181.10,Tucker,T-50-HM-5-WC,N,0,,N,0,,Y,0,,N,0,258.70
2BJABZQPX4UDP5CJD3WI23UY,#5 Section for ECO 40w/ Clamp,#5 Section for Tucker®-40,Regular,,T-40-CF-5-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,179.75,,Y,,,,N,,,125.83,Tucker,T-40-CF-5-WC,N,0,,N,0,,Y,0,,N,0,179.75
PQU5EB3ZOWVA42UK2GLPMQB7,#5 Section for SOLAR BOOSTw/ Clamp,#5 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-5-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,137.08,,Y,,,,N,,,95.96,Tucker,T-27-CF-5-WC,N,0,,N,0,,Y,0,,N,0,137.08
2ANLI4S2SD2F7L3LFFWSK7GI,#6 Section for 50HMw/ clamp,#6 Section for 50HMw/clamp,Regular,,T-50-HM-6-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,264.31,,Y,,,,N,,,185.02,Tucker,T-50-HM-6-WC,N,0,,N,0,,Y,0,,N,0,264.31
