Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
42JNGWSLG5AZIKDQESGVODL5,"1/4"" MEG 25055",,Regular,,1119,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,24,,,,,N,0,,,,
XFSVVP6ES47GMRQHTI4KIFK4,"1/4"" MEG 2506",,Regular,,1118,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,1,,,,,N,0,,,,
EH46D7B3KG747V2VYNPDQTGX,"1/4"" MEG 4002",,Regular,,3235,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,13,,,,,N,0,,,,
DMRHM2MFVKNJ3YE6JPRT4U25,"1/4"" MEG 4003",,Regular,,1770,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,0,,,,,N,0,,,,
P3K426GRASIFT7RNNY5RLY23,"1/4"" MEG 40035",,Regular,,1771,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,2,,,,,N,0,,,,
LI2LMXWOYFOQ2JAITKXWBEOA,"1/4"" MEG 4004",,Regular,,1104,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,9,,,,,N,0,,,,
EHEI2KEI7VE3P4SP4XPS6BOS,"1/4"" MEG 40045",,Regular,,1103,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,5,,,,,N,0,,,,
4NRCWSY7RSJNJRNI3FDBX6SC,"1/4"" MEG 4005",,Regular,,1102,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,10,,,,,N,0,,,,
574XFW67O7XIICQZ3CKZMMRW,"1/4"" MEG 40055",,Regular,,1100,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,8,,,,,N,0,,,,
SU4XFY4SJEVT2YBTCYT3QX2J,"1/4"" MEG 4006",,Regular,,1099,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,9,,,,,N,0,,,,
7OHD52PSXES5IV2MDZ7XHI4F,"1/4"" MEG 6503",,Regular,,4026,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,0,,,,,N,0,,,,
RU2X42A3MQVO6LUMNYD57MSV,"1/4"" MEG 6504",,Regular,,3788,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,1,,,,,N,0,,,,
522RCRERGJLVR4KBYSABTO25,"1/4"" MEG 65045",,Regular,,3789,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,0,,,,,N,0,,,,
WTSWTA7P7TNZNWG6HMOG6NXM,"1/4"" MEG 6505",,Regular,,3790,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,-1,,,,,N,0,,,,
O3R47UFXARI54BJ5RGAEVBJR,"1/4"" MEG 65055",,Regular,,3791,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,0,,,,,N,0,,,,
HWA3DMT7RJA2H472NKIHQDNR,"1/4"" MEG 6506",,Regular,,3792,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,-1,,,,,N,0,,,,
3VI73SNKZWN3EA5ZJBK3RPYG,"1/4"" MEG 65065",,Regular,,3793,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,0,,,,,N,0,,,,
TLO5FETESPGPHERQSSBZKQJD,"1/4"" MEG 6507",,Regular,,3794,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,0,,,,,N,0,,,,
OBAV6SPHD6WMVVOLXMKU7I63,"1/4"" MEG 6508",,Regular,,3795,"WashJet spray nozzles feature high-impact sprays perfect for high pressure wash applications. Stainless steel construction ensures long operation life and flat spray nozzle provides an even, uniform spray pattern. WashJet MEG spray tips include tungsten carbide orifice inserts for great erosion resistance.",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,10.00,,Y,,N,,,,,5.39,Barens,,Y,-2,,,,,N,0,,,,
6YV5ONT3Q75OO5MVK4WCMNHI,"1/4"" MPT Nozzle 1503",,Regular,,2308,"1/4"" MPT Stainless Steel Nozzle 15 Degree 3 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,5.00,,Y,,N,,,,,3.71,,,Y,18,,Y,0,,N,0,,,,
DWEJDC3HFCBCR7I4JQJ4GYTO,"1/4"" MPT Nozzle 15035",,Regular,,2309,"1/4"" MPT Stainless Steel Nozzle 15 Degree 3.5 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,N,5.00,,Y,,,,,,,3.71,,,Y,0,,Y,0,,N,0,,,,
UNO7EHWQKZQVSFKDWDAOAPSW,"1/4""M x 5/16"" PTF","1/4""M x 5/16"" PTF",Regular,,62056,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,,,,,,,,3.93,,Y,,,,,,,2.76,Tucker,62056,N,0,,N,0,,Y,0,,N,0,3.93
NRNREWO7L4QQ56P2XHE5GO2P,"1/4""M x 5/16"" PTF","1/4""M x 5/16"" PTF",,,63008,"1/4""M x 5/16"" PTF | Official Tucker SKU: 62056 | Category: Catalog","Tucker, Tucker > Catalog",Tucker,"1/4""M x 5/16"" PTF | Catalog | AZ Cleaning Supplies","1/4""M x 5/16"" PTF. Category: Catalog. Vendor code: 62056. Available at AZ Cleaning Supplies.",1-4-m-x-5-16-ptf,,Hidden,Physical good,,"1/4""M x 5/16"" PTF | Catalog | AZ Cleaning Supplies","1/4""M x 5/16"" PTF. Category: Catalog. Vendor code: 62056. Available at AZ Cleaning Supplies.",N,N,N,N,6.64,,Y,,N,,,,,,,,Y,0,,,,,N,0,,,,
YZLFUVXGC4ELRD3WNYMZYELG,"10"" Quicksilver Channel 90 degree w/ end clips","Sorbo 10"" Quicksilver Channel - 90 degree w/ end clips",Regular,,SORBO-S1269,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,13.44,,Y,Y,,Y,N,,,9.41,Tucker,SORBO-S1269,N,0,,N,0,,Y,0,,N,0,13.44
QMLA4WXHWUXZDBI5JU3PQL67,12 volt waterproof rocker switch,12 Volt Waterproof On/Off Switch,Regular,,12015,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,81.93,,Y,,,,,,,57.36,Tucker,12015,N,0,,N,0,,Y,0,,N,0,81.93
AN6BP7Y6KSILBIZHISUD6SJT,12 volt waterproof rocker switch,12 Volt Waterproof On/Off Switch,,,62028,These 12volt on/off waterproof switches are used on our 12-volt booster pump systems and Tucker® Fill N Go tank systems.,"Tucker, Tucker > Catalog",Tucker,12 Volt Waterproof On/Off Switch | Catalog | AZ Cleaning Supplies,These 12volt on/off waterproof switches are used on our 12-volt booster pump systems and Tucker® Fill N Go tank systems. Available at AZ Cleaning Supplies.,12volt-waterproof-on-off-switch,,Hidden,Physical good,,12 Volt Waterproof On/Off Switch | Catalog | AZ Cleaning Supplies,These 12volt on/off waterproof switches are used on our 12-volt booster pump systems and Tucker® Fill N Go tank systems. Available at AZ Cleaning Supplies.,N,N,N,N,78.76,,Y,,N,,,,,,,,Y,0,,,,,N,0,,,,
ZXUFMVBYZH3OLF5GMOJQJ6XE,"12"" Zinc Plated Lance",,Regular,,1398,"12"" Zinc Plated Lance / 5000 PSI / 10.5 GPM / 302 Deg Max",Tools,Tools,,,,,Hidden,Physical good,,,,,,N,N,19.75,,Y,,,,,,,10.35,,,Y,4,,Y,0,,N,0,,,,
MQQRU652RXEKYLTAMBPIVTLG,"1299- Pressure Switch 1/4"" MPT  250v 15amp, Activates at 580 PSI, 4050 PSI Max",,Regular,,1299,"Pressure Switch 1/4"" MPT 250v 15amp, Activates at 580 PSI, 4050 PSI Max",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,44.75,,Y,,N,,,,,23.24,,,Y,5,,Y,0,,N,0,,,,
UTPIAQ2OUS34MLHGB42SVWLF,1351- Delavan Fuel Nozzle Type A Hollow Core 80A 2.50 GPH,,Regular,,1351,Delavan Fuel Nozzle Type A Hollow Core 80A 2.50 GPH,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,18.75,,Y,,,,,,,12.71,,,Y,0,,Y,0,,N,0,,,,
WI4FTWPHERY2XRTPIIU4U2GH,"14"" Quicksilver Channel 40 degree w/ end clips","14"" Quicksilver Channel 40 degree w/ end clips",Regular,,SORBO-S1277,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,,,,,,,,16.01,,Y,Y,,Y,N,,,11.21,Tucker,SORBO-S1277,N,0,,N,0,,Y,0,,N,0,16.01
F7GFSKEM5FI45SHLVHYEW5AR,1416- GP Repair Kit #1 Check Valve,,Regular,,1416,GP Repair Kit #1 Check Valve,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,99.75,,Y,,,,,,,49.73,,,Y,0,,Y,0,,N,0,,,,
RFZBS6OOKPMVEJXAOJXQRTAV,15' ECO BARE POLE (no tips included),Tucker® - Junior Water Fed Pole - Bare,Regular,,ECO-15-BARE,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,6.001,,,,,,,189.53,,Y,,,,N,,,132.67,Tucker,ECO-15-BARE,N,0,,N,0,,Y,0,,N,0,189.53
U36WGKTSP2T3CNKUYEBQPXVL,150 foot Yellow 3/8 Hose with Garden Hose Fittings,"150' Length of Yellow 3/8"" ID Spot Free Hose",Regular,,T-3/8-150-YL,,"Tucker, Tucker > Accessories",Tucker,,,,,Hidden,Physical good,10,,,,,,,187.83,,Y,,,,N,,,131.48,Tucker,T-3/8-150-YL,N,0,,N,0,,Y,0,,N,0,187.83
MC4YZOODLZOYAHO6EFDTE567,1559- 5/16 Plastic Fuel Filter,,Regular,,1559,5/16 Plastic Fuel Filter,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,5.75,,Y,,N,,,,,3.80,,,Y,2,,Y,0,,N,0,,,,
G2KZLLRHJMMYE2JMASQMTCXV,"16"" water broom w/o nozzles",,Regular,,6730,"16"" water broom w/o nozzles",Tools,Tools,,,,,Hidden,Physical good,,,,Y,,,Y,68.75,,Y,,,,,,,50.25,,,Y,2,,Y,0,,N,0,,,,
M65NG3AAJSN4DFIMH3YLTHHN,"16""  x 2"" Velcro Strip",,,,62013,"The velcro on the Tucker® Alpha Scrubbers will wear out over time.
Its easy to replace with these pre-cut pieces.
This is the 2"" wide piece it requires for replacing the complete backing on the XL size alpha scrubber.",Tucker,Tucker,,,,,Hidden,Physical good,,,,Y,N,N,Y,12.33,,Y,,,,,,,,,,Y,0,,,,,N,0,,,,
AJBKDFTUSGDQLKEESK6B2KUV,"16"" x 2"" Velcro Strip (Single strip)",SINGLE Replacement Velcro for Alpha Scrubber XL Size,Regular,,V16X2,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,0.5,,,,,,,10.08,,Y,Y,,Y,N,,,7.06,Tucker,V16X2,N,0,,N,0,,Y,0,,N,0,10.08
PLLHKRAYWJ4EAIXYKTHZQRBX,1627- 304 Plug - 1/4MPT,,Regular,,1627,304 Stainless Steel Plug - 1/4MPT,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,1.60,,,Y,32,,Y,0,,N,0,,,,
U5UFC2KQLVBYATFOY2MNDRB2,"1696- GP Steel 36"" Dual Lance",,Regular,,1696,"GP Steel 36"" Dual Lance",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,160.75,,Y,,,,,,,91.92,,,Y,0,,Y,0,,N,0,,,,
WNTFHYGYQMJSIV3MVV4TUGY3,1699- ST-54 Suttner Steel Dual Lance,,Regular,,1699,ST-54 Suttner Steel Dual Lance,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,79.75,,Y,,N,,,,,51.08,,,Y,9,,Y,0,,N,0,,,,
U2EH3MSYJT4CT5R7G5XTTFPD,"18"" Pistol Grip & Lance w/ Brass Nozzle",,Regular,,6786,"18"" Pistol Grip & Lance w/ Brass Nozzle
Spray up to 30 feet depending on the spraying equipment used. Includes a 3/8” hose barb connection. Not for use with pressure washers.

Featuring a #18 orifice brass nozzle that can be easily adjusted from steady stream to a wide mist.

250 Max PSI

7.0 Max GPM",Tools,Tools,,,,,Hidden,Physical good,,,,Y,,,Y,35.75,,Y,,N,,,,,25.21,,,Y,0,,Y,0,,N,0,,,,
42NJVATOQAX3LOR3HDCSHJTZ,"18"" Quicksilver Channel 40 degree w/ end clips","18"" Quicksilver Channel 40 degree w/ end clips",Regular,,SORBO-S1285,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,,,,,,,,18.63,,Y,Y,,Y,N,,,13.05,Tucker,SORBO-S1285,N,0,,N,0,,Y,0,,N,0,18.63
DUIKGIDRUW4KOPHVVRJGCFCS,1888- Quick Change Nozzle - 25 Degree - 8GPM,,Regular,,1888,Quick Change Nozzle - 25 Degree - 8GPM,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,8.50,,Y,,,,,,,3.71,,,Y,4,,Y,0,,N,0,,,,
GYWOSP4JOMJ7CTZQBJA6YILW,1889- Giant Pressure Relief Valve 2400-3600 PSI 3/8 MPT,,Regular,,1889,Giant Pressure Relief Valve 2400-3600 PSI 3/8 MPT,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,19.75,,Y,,N,,,,,10.41,,,Y,0,,Y,0,,N,0,,,,
UVSH3QXW5O4ZZT3TXK5VLIRM,1in Square Plastic Plug for Steel Frame,1in Square Plastic Plug for Steel Frame,Regular,,11031-STEEL,,"Tucker, Tucker > Accessories",Tucker,,,,,Hidden,Physical good,,,,,,,,0.49,,Y,,,,N,,,0.35,Tucker,11031-STEEL,N,0,,N,0,,Y,0,,N,0,0.49
6O5MDSJPAFKOIACG3E3VA7RW,2 Piece Ext Kit w/ Sec ECO-6 and ECO-7,2 Piece Extension Kit for 30,,,ECO-40-EXT,"The Tucker® 30 extension is a 2-piece lightweight carbon fiber extension designed specifically for the Tucker® ECO-30 poles. It comes with the Tucker® clamps that bolt on and carries a LIFETIME WARRANTY. This 2-piece extension is added to the base of your Tucker® 30 pole. This allows you to have an extra 10' of reach. Built in end protection on each section protects the carbon fiber. To add this extension, simply remove the end cap from your 30 and slide in into the top section of the extension. Note : We highly recommend you familiarize yourself with appropriate PPE to be used when working on or around electrical hazards including, but not limited to dielectric boots and gloves. Fore more safety information please see this page HERE","Tucker, Tucker > Catalog",Tucker,2 Piece Extension Kit for 30 | Catalog | AZ Cleaning Supplies,The Tucker® 30 extension is a 2-piece lightweight carbon fiber extension designed specifically for the Tucker® ECO-30 poles. It comes with the Tucker® clamps...,2-piece-extension-kit-for-eco-30,,Hidden,Physical good,,2 Piece Extension Kit for 30 | Catalog | AZ Cleaning Supplies,The Tucker® 30 extension is a 2-piece lightweight carbon fiber extension designed specifically for the Tucker® ECO-30 poles. It comes with the Tucker® clamps...,N,N,N,N,379.48,,Y,,N,,,,,,Tucker,,Y,0,,,,,N,0,,,,
GR5DPVQNV4EDG2KMKQM4K2DG,2 Piece Ext Kit w/ Sec ECO-6 and ECO-7,2 Piece Extension Kit for 30,Regular,,ECO-40-EXT,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,2,,,,,,,407.16,,Y,,,,,,,285.01,Tucker,ECO-40-EXT,N,0,,N,0,,Y,0,,N,0,407.16
TU5BDTBMPDSMEHQ5NSMBXIBW,2 Piece Ext Kit w/ Sec ECO-8 and ECO-9,2 Piece Extension Kit for Tucker® 40,Regular,,ECO-50-EXT,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,2,,,,,,,524.13,,Y,,,,,,,366.90,Tucker,ECO-50-EXT,N,0,,N,0,,Y,0,,N,0,524.13
YMXFIKXJDEMCTVW2XXWUGKYP,2 Piece Ext Kit w/ Sec ECO-8 and ECO-9,2 Piece Extension Kit for Tucker® 40,Regular,,ECO-50-EXT,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,2,,,,,,,524.13,,Y,Y,,Y,,,,366.90,Tucker,ECO-50-EXT,N,0,,N,0,,Y,0,,N,0,524.13
XJTSSXCJHTFVCGH2ZKAIZ7X6,2 Piece Extension for ECO-MINI,Tucker® - MINI Extension,Regular,,ECO-MINI-EXT,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,5,,,,,,,284.31,,Y,,,,,,,199.02,Tucker,ECO-MINI-EXT,N,0,,N,0,,Y,0,,N,0,284.31
ZL7HNJWRCEQRFTFDULQIVRDC,2 Piece Extension for ECO-MINI,Tucker® - MINI Extension,,,ECO-MINI-EXT,"The Tucker® MINI extension is a 2-piece lightweight carbon fiber extension designed specifically for the Tucker® MINI and Solar Boost poles. It comes with the Tucker® clamps that bolt on and carry a LIFETIME WARRANTY. This 2-piece extension is added to the base of your Tucker® MINI pole. This allows you to have an extra 7' 8"" of reach. Built-in end protection on each section protects the carbon fiber. Note : We highly recommend you familiarize yourself with appropriate PPE to be used when working on or around electrical hazards including, but not limited to dielectric boots and gloves. Fore more safety information please see this page HERE This extension will not work with the Tucker® Bravo.","Tucker, Tucker > Catalog",Tucker,Tucker® - MINI Extension | Catalog | AZ Cleaning Supplies,The Tucker® MINI extension is a 2-piece lightweight carbon fiber extension designed specifically for the Tucker® MINI and Solar Boost poles. It comes with...,tucker-mini-extension,,Hidden,Physical good,,Tucker® - MINI Extension | Catalog | AZ Cleaning Supplies,The Tucker® MINI extension is a 2-piece lightweight carbon fiber extension designed specifically for the Tucker® MINI and Solar Boost poles. It comes with...,N,N,N,N,265.89,,Y,,N,,,,,,,,Y,0,,,,,N,0,,,,
75CKMW5R5N43CU2YOWSHZYIN,2 piece kit for upgrading to Loct System,2 Piece Kit for Upgrading to LOCT System,Regular,,T-LOCT-UGK,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,22.48,,Y,,,,N,,,15.74,Tucker,T-LOCT-UGK,N,0,,N,0,,Y,0,,N,0,22.48
SGFD37YKZ4GZDA6WISXF2KQZ,"2""x10"" Velcro Strip",,,,V10x2,"The velcro on the Tucker® Alpha Scrubbers will wear out over time.
Its easy to replace with these pre-cut pieces.
This is the 2"" wide piece it requires for replacing the complete backing on the standard size alpha scrubber.",Tucker,Tucker,,,,,Hidden,Physical good,,,,Y,N,N,Y,6.49,,Y,,,,,,,,,,Y,0,,,,,N,0,,,,
TVICNLPQK2HJV7DHUFPWLYWA,"2""x10"" Velcro Strip (Single strip)",SINGLE Replacement Velcro for Alpha Scrubber STD Size,Regular,,V10X2,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,0.5,,,,,,,3.77,,Y,Y,,Y,N,,,2.65,Tucker,V10X2,N,0,,N,0,,Y,0,,N,0,3.77
HGVNMXPECPZFAKDMOMXZZH4O,2.3mm 5-8 gpm downstream injector,,Regular,,2211,,Parts,Parts,,,,,Hidden,Physical good,,,,N,N,N,Y,31.75,,Y,,N,,,,,16.83,Barens,,Y,5,,,,,N,0,,,,
I75UH5FLPQ74EA3HH4CT6TZN,2.5in x 10in Carbon Filter,2.5in x 10in Carbon Filter,Regular,,20026,,"Tucker, Tucker > Pure Water Systems",Tucker,,,,,Hidden,Physical good,,,,,,,,16.39,,Y,,,,N,,,11.48,Tucker,20026,N,0,,N,0,,Y,0,,N,0,16.39
QD7OZP6STDLQEC42LILLAY5K,2.5in x 10in Carbon Filter,2.5in x 10in Carbon Filter,Regular,,20026,,"Tucker, Tucker > Pure Water Systems",Tucker,,,,,Hidden,Physical good,,,,,,,,16.39,,Y,,,,N,,,11.48,Tucker,20026,N,0,,N,0,,Y,0,,N,0,16.39
26NKNBMUNMLSCM7GB5U6LWAL,2.5in x 10in Carbon Filter / Chloramine Killer,2.5in x 10in Carbon Filter / Chloramine Killer,Regular,,20026-CK,,"Tucker, Tucker > Pure Water Systems",Tucker,,,,,Hidden,Physical good,,,,,,,,69.44,,Y,,,,N,,,48.61,Tucker,20026-CK,N,0,,N,0,,Y,0,,N,0,69.44
TQOU4KZQBDGVBRXANT6NZPRC,2.5in x 10in Carbon Filter / Chloramine Killer,2.5in x 10in Carbon Filter / Chloramine Killer,Regular,,20026-CK,,"Tucker, Tucker > Pure Water Systems",Tucker,,,,,Hidden,Physical good,,,,,,,,69.44,,Y,,,,N,,,48.61,Tucker,20026-CK,N,0,,N,0,,Y,0,,N,0,69.44
5GVYD4KEYS3B37HK5PEG35AM,2.5in x 10in CLEAR Housing w/ 1/2in inlets,"2.5"" x 10"" Filter Housing",Regular,,20047-CLR,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,86.60,,Y,Y,,Y,N,,,60.62,Tucker,20047-CLR,N,0,,N,0,,Y,0,,N,0,86.60
