SKU,Item Name,Category,Category Folder,Image Filename,Image Absolute Path
T-SWIVEL-V2,Tucker® Swivel Assembly w/ Quick Release for #1 Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-SWIVEL-V2.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SWIVEL-V2.png
TUCKER®-WATER-FED-POLE---4060-4-STAGE-KIT,Tucker® Water Fed Pole - 4060 4-Stage Kit,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,TUCKER®-WATER-FED-POLE---4060-4-STAGE-KIT.png,C:\Codex\AZCS Inventory\Images\Tucker images\TUCKER®-WATER-FED-POLE---4060-4-STAGE-KIT.png
TUCKER®-WATER-FED-POLE-DUAL-USER-FILL-N-GO-KI,Tucker® Water Fed Pole Dual User Fill N Go Kit,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,TUCKER®-WATER-FED-POLE-DUAL-USER-FILL-N-GO-KI.png,C:\Codex\AZCS Inventory\Images\Tucker images\TUCKER®-WATER-FED-POLE-DUAL-USER-FILL-N-GO-KI.png
T-FNG-KIT,Tucker® Water Fed Pole Single User Fill N Go Kit,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-FNG-KIT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-FNG-KIT.png
T-ULTIMATE-C-40,Ultimate Kit for Commercial 40',Tucker > Catalog,Catalog,T-ULTIMATE-C-40.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ULTIMATE-C-40.png
T-ULTIMATE-C-50,Ultimate Kit for Commercial 50',Tucker > Catalog,Catalog,T-ULTIMATE-C-50.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ULTIMATE-C-50.png
T-ULTIMATE-C-60,Ultimate Kit for Commercial 60',Tucker > Catalog,Catalog,T-ULTIMATE-C-60.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ULTIMATE-C-60.png
T-ULTIMATE-C-70,Ultimate Kit for Commercial 70',Tucker > Catalog,Catalog,T-ULTIMATE-C-70.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ULTIMATE-C-70.png
T-ULTIMATE-KIT-RES-H2PRO-110,Ultimate Residential Kit H2PRO,Tucker > Pure Water Systems,Pure Water Systems,T-ULTIMATE-KIT-RES-H2PRO-110.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ULTIMATE-KIT-RES-H2PRO-110.png
T-ULTIMATE-KIT-RES-H2PRO,Ultimate Residential Kit H2PRO(WP),Tucker > Pure Water Systems,Pure Water Systems,T-ULTIMATE-KIT-RES-H2PRO.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ULTIMATE-KIT-RES-H2PRO.png
T-ULTIMATE-KIT-RES-40UGK,Ultimate Residential Kit with Tucker® 40 upgrade,Tucker > Catalog,Catalog,T-ULTIMATE-KIT-RES-40UGK.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ULTIMATE-KIT-RES-40UGK.png
T-SKID-ULT-MAV,Ultimate Tucker Skid - Maverick,Tucker > Catalog,Catalog,T-SKID-ULT-MAV.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-SKID-ULT-MAV.jpeg
62014-BV,Union Ball Valve 1/2OD x 1/2OD,Tucker > Accessories,Accessories,62014-BV.png,C:\Codex\AZCS Inventory\Images\Tucker images\62014-BV.png
62014-BV-BYPASS,Union Ball Valve 1/2OD x 1/2OD - drilled,Tucker > Accessories,Accessories,62014-BV-BYPASS.png,C:\Codex\AZCS Inventory\Images\Tucker images\62014-BV-BYPASS.png
T-LEVER-V2-COMP,V2 Lever Complete for CF Pole Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-LEVER-V2-COMP.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-LEVER-V2-COMP.jpeg
WATER-FED-BRUSH-│-ALPHA-BOAR-AND-NYLON-BRISTL,"Water Fed Brush │ Alpha Boar and Nylon Bristle Hybrid - 4 Pencil Jets, Rinse Bar, and Swivel Neck",Tucker > Accessories,Accessories,WATER-FED-BRUSH-│-ALPHA-BOAR-AND-NYLON-BRISTL.png,C:\Codex\AZCS Inventory\Images\Tucker images\WATER-FED-BRUSH-│-ALPHA-BOAR-AND-NYLON-BRISTL.png
WATER-FED-BRUSH-│-ALPHA-PREMIUM-BOAR-BRUSH,"Water Fed Brush │ Alpha Premium Boar Brush - 4 Pencil Jets, Rinse Bar and Swivel Neck",Tucker > Accessories,Accessories,WATER-FED-BRUSH-│-ALPHA-PREMIUM-BOAR-BRUSH.png,C:\Codex\AZCS Inventory\Images\Tucker images\WATER-FED-BRUSH-│-ALPHA-PREMIUM-BOAR-BRUSH.png
T-ALPHA-SCRUB,Water Fed Brush │ Alpha Scrubber,Tucker > Accessories,Accessories,T-ALPHA-SCRUB.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ALPHA-SCRUB.png
T-12HY-LT,Water Fed Brush │ Dual Trim - Boar and Nylon Bristle Hybrid - 4 Pencil Jets,Tucker > Accessories,Accessories,T-12HY-LT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12HY-LT.png
WATER-FED-BRUSH│BOAR-BRISTLE---4-PENCIL-JETS,Water Fed Brush│Boar Bristle - 4 Pencil Jets,Tucker > Accessories,Accessories,WATER-FED-BRUSH│BOAR-BRISTLE---4-PENCIL-JETS.png,C:\Codex\AZCS Inventory\Images\Tucker images\WATER-FED-BRUSH│BOAR-BRISTLE---4-PENCIL-JETS.png
12034,Water-Fed Delivery Pump,Tucker > Pure Water Systems,Pure Water Systems,12034.png,C:\Codex\AZCS Inventory\Images\Tucker images\12034.png
T-1000,Welded Frame for 3 Stage Cart,Tucker > Catalog,Catalog,T-1000.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-1000.jpeg
HW014,Wheel Bolt,Tucker > Catalog,Catalog,HW014.png,C:\Codex\AZCS Inventory\Images\Tucker images\HW014.png
T-WCT,Wood Cone Tip for Acme Tips,Tucker > Catalog,Catalog,T-WCT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-WCT.png
T-18ALPHA-HB-SOLAR,XL ALPHA BADGER Solar Brush,Tucker > Accessories,Accessories,T-18ALPHA-HB-SOLAR.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-18ALPHA-HB-SOLAR.jpeg
T-18ALPHA-DT-XL,XL Nylon Alpha Brush,Tucker > Accessories,Accessories,T-18ALPHA-DT-XL.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-18ALPHA-DT-XL.jpeg
